REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,PRIZ_P,C2_5
2034,45,12391945,1027739058720,2034,044583963,9/1/2013,"АКБ ""СЕРВИС-РЕЗЕРВ"" БАНК (ЗАО)","119071,  г. Москва, ул. Орджоникидзе, д. 10",1,31
2035,45,16260171,1020900001770,2035,044599527,9/1/2013,"ОАО АКБ ""РФА""","127051, г. Москва, Малый Каретный пер.,  д. 11-13, стр. 1",1,22
2037,45,22712652,1027739441014,2037,044579257,9/1/2013,"КБ ""Кредитимпэкс Банк"" (ООО)","119002, г. Москва, ул. Арбат, д. 54/2, стр. 1",1,22
2048,22,10658812,1025200001254,2048,042204721,9/1/2013,"ОАО ""АКБ САРОВБИЗНЕСБАНК""","607189, Нижегородская область, г.Саров, улица Силкина, 13",1,31
2050,45,17501108,1027739435646,2050,044583211,9/1/2013,"ЗАО ""РСКБ""","119002,  г. Москва, Денежный переулок, д. 7, корп. 2",1,22
2053,70,12467269,1027100000014,2053,047003725,9/1/2013,"ОАО ""Спиритбанк""","300012, Тульская область, г.Тула, пр.Ленина, 85а",1,31
2055,45,09307450,1027739824881,2055,044583893,9/1/2013,"ЗАО КБ ""Квота-банк""","125195,  г. Москва, ул. Ленинградское шоссе, дом 59",1,31
2063,01,21417572,1022200526061,2063,040173743,9/1/2013,"ОАО КБ ""ФорБанк""","656056, Алтайский край, г.Барнаул, ул.Гоголя, д.36/ул.Горького М., д.29",1,22
2065,61,12208964,1026200004060,2065,046126744,9/1/2013,"ООО ""МКБ им. С. ЖИВАГО""","390000, г. Рязань,  ул. Почтовая, д. 64",1,27
2070,92,27889467,1021600000267,2070,049205919,9/1/2013,"ЗАО АКБ ""Кара Алтын""","420126, г.Казань, ул. Амирхана, д.15",1,22
2071,65,25025053,1026600005013,2071,046577851,9/1/2013,"ООО ""Плато-банк""","620014, г. Екатеринбург, ул. 8 Марта, 2, офис 19",1,22
2073,45,25095585,1020500000510,2073,044585536,9/1/2013,"ОАО БАНК ""МБФИ""","105062, г. Москва, Подсосенский  пер, д. 17",1,27
2074,22,09317520,1027700095830,2074,044585291,9/1/2013,"""Объединенный национальный банк"" (ООО)","603005, г.Нижний Новгород, Верхневолжская набережная, д. 8/59",1,31
2085,32,16374100,1024200685948,2085,043207780,9/1/2013,"ООО КБ ""Тайдон""","650070, Кемеровская область, г. Кемерово, пр. Молодежный, д. 5",1,23
2093,18,22360041,1023400000964,2093,041806791,9/1/2013,"ОАО КБ ""РусЮгбанк""","400066, г.Волгоград, ул.им.Гагарина, д.7",1,27
2098,82,25094373,1020500001873,2098,048209744,9/1/2013,"АИБ ""Имбанк"" (ОАО)","367037, Республика Дагестан, г.Махачкала, ул. Ирчи-Казака, 35А",1,21
2103,30,10874390,1024100000165,2103,043002717,9/1/2013,"""Муниципальный Камчатпрофитбанк"" (ЗАО)","683032, Камчатский край, г.Петропавловск-Камчатский, ул. Пограничная, 19",1,27
2108,45,17514743,1027739300050,2108,044585374,9/1/2013,"КБ ""Транснациональный банк"" (ООО)","119180,  г. Москва, 1-й Хвостов пер., д. 3А, стр. 2",1,31
2110,45,17504207,1027739250285,2110,044585259,9/1/2013,"АКБ ""ПЕРЕСВЕТ"" (ЗАО)","123100,  г. Москва, Краснопресненская набережная, д.14",1,22
2119,45,17507909,1027739176080,2119,044579226,9/1/2013,"ЗАО АКБ ""Алеф-Банк""","117218, г. Москва, ул. Кржижановского, д. 21/33, корп. 1",1,27
2123,69,24635252,1027000000059,2123,046902727,9/1/2013,"ООО ""Промрегионбанк""","634009, г. Томск, пер. Войкова, 2А",1,27
2136,45,17546341,1027700523718,2136,044579443,9/1/2013,"КБ ""Экономикс-Банк"" (ООО)","101000,  г. Москва, ул. Мясницкая, дом 46, стр.1",1,27
2142,45,17529124,1027739048204,2142,044525562,9/1/2013,"ОАО ""ТрансКредитБанк""","105066,  г. Москва, ул. Новая Басманная, дом 37 А",1,31
