REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_4
226,45,09807359,1027700351106,226,044552521,6/1/2010,"ЗАО КБ ""Росинтербанк""","129272,  г. Москва, ул.Трифоновский тупик, д.3",Председатель Правления,Нигин А.А.,Главный бухгалтер,Жукова Г.А.,Начальник управления,Левитан С.И.,787-7050,19
236,45,17546329,1027739412359,236,044585728,6/1/2010,"ООО ""СПЕЦСТРОЙБАНК""","109004,  г. Москва, ул. Александра Солженицына, д. 12, стр. 4",Зам. Председателя Правления,Логунова Т.Ю.,Зам. Главного бухгалтера,Саргина А.В.,Зам. Главного бухгалтера,Саргина А.В.,755-56-66 (160),19
249,57,0980754,1025900000048,249,045773790,6/1/2010,"ОАО АКБ ""Урал ФД""","614990, г. Пермь, ул. Ленина, 64",Зам. Председателя Правления,Яцков А.С.,Главный бухгалтер,Попова М.Б.,ведущий экономист,Ощепкова Е.В.,240-10-88,23
254,33,10919075,1024300000042,254,043304711,6/1/2010,"ОАО КБ ""Хлынов""","610002, г.Киров, ул. Урицкого, д. 40",Председатель Правления,Попов Н.В.,Главный бухгалтер,Анисимова Г.Н.,исполнитель,Садаков Ю.В.,204777 доб.0202,31
272,45,09807649,1027739137535,272,044583544,6/1/2010,"АКБ ""ИРС"" (ЗАО)","127422,  г. Москва, ул.Тимирязевская, д.26",Вице-Президент банка,Башаев Р.М.,Главный бухгалтер,Чернигова Г.Н.,Начальник отдела отчетности,Шубина Л.В.,976-93-87,19
286,45,09807833,1027700207490,286,044552620,6/1/2010,"Коммерческий Банк ""Аскания Траст"" (ООО)","101000,  г. Москва, ул. Покровка, д. 10, стр. 1",Председатель Правления     (Президент),Кузьмина Н.В.,Главный бухгалтер,Пономарева В.С.,Главный бухгалтер,Пономарева В.С.,"921-02-00, 624-45-58",19
323,50,09804094,1025400001571,323,045004821,6/1/2010,"ОАО ""МДМ Банк""","630004,  г. Новосибирск, улица Ленина, 18",Заместитель генерального директора,А.Е. Гайдук,Главный бухгалтер,Р.Р. Ахметзянов,Главный специалист ОСО,Л.А.Журавлева,227-81-73,31
324,45,09804102,1037739057070,324,044525057,6/1/2010,"ОАО ""БАНК РОССИЙСКИЙ КРЕДИТ""","125252,  г. Москва, ул. Сальвадора Альенде, д. 7",Председатель Правления,Лысенко П.И.,Главный  бухгалтер,Парамонов Ю.Н.,Начальник отдела,Грачева Л.А.,785-06-26,19
330,63,09809080,1026400002089,330,046311755,6/1/2010,"ООО Банк ""Саратов""","410071, г.Саратов, ул.Шелковичная, 177",Председатель Правления,Мумлева Ирина Юрьевна,Главный бухгалтер,Масликова Елена Ивановна,Ведуший экономист,Скрипкина Н.А.,560-036,19
370,45,09801960,1027700412893,370,044583209,6/1/2010,"Банк ""Новый Символ"" (ЗАО)","123007,  г. Москва, 2-й Силикатный проезд, д.8",Первый зам. Председателя Правления,Зиновьев С.В.,Заместитель главного бухгалтера,Соколова Ю.В.,Начальник отдела отчетности,Федюшина Н.К.,(499) 946-54-02,19
384,46,09804616,1025000006350,384-К,044552789,6/1/2010,"НКО ""СПРП"" (ООО)","141300, Московская область,г. Сергиев Посад, ул.Бероунская, д.1",Председатель Правления,Разживин Дмитрий Владимирович,Главный бухгалтер,Далакян Альберт Арташесович,Зам. начальника отдела сводной отчетности,Сорокина Светлана Николаевна,721-26-10 (доб. 107),28
391,46,16967282,1025000003071,391,044552362,6/1/2010,"ОАО ""АБ ""ПУШКИНО""","141200, Московская область, г.Пушкино, микрорайон ""Дзержинец"", д.1.",Председатель Правления,Слыщенко О.В.,Главный бухгалтер,Урбонавичюс А.Р.,Зам. нач. отдела отчетности,Михальченкова О.В.,993-46-70,31
410,50,09224971,1025400003420,410,045004897,6/1/2010,"ЗАО ""НОМОС-БАНК-Сибирь""","630102, г. Новосибирск, ул.Кирова, 44",Президент,Демчук И.Н.,Главный бухгалтер,Дударева М.М.,Ведущий специалист,Камнева И.Ю.,210-11-86,22
429,65,09809128,1026600000350,429,046577795,6/1/2010,"ОАО ""УБРиР""","620014, г.Екатеринбург, ул. Сакко и Ванцетти, д.67",Вице-президент,Крохин А.Г.,Главный бухгалтер,Сиразов М.Р.,Ведущий экономист,Мартьянова Ю.В.,228-19-78,31
435,45,09801026,1037700041323,435,044525186,6/1/2010,Банк СКТ (ОАО),"105064, г. Москва, ул. Земляной вал, д. 9",И.о. Председателя Правления,В.Ю. Вашкевич,Главный бухгалтер,Г.В. Баркова,Начальник отдела отчетности Управления бух.учета и отчетности,М.И. Соколова,721-90-42 доб. 39-10,19
438,92,09265964,1021600000840,438,049240785,6/1/2010,"ООО ""Камкомбанк""","423807, Республика Татарстан, г.Набережные Челны, ул. Гидростроителей, д.21",Председатель Правления,Габдуллина Р.М.,Главный бухгалтер,Тонгузова Н.Б.,Старший экономист,Фазлыева Э.Р.,(8552) 700-194,19
444,63,09801109,1026400002265,444,046359728,6/1/2010,"ОАО ""БАЛАКОВО-БАНК""","413840, Саратовская область, г.Балаково, ул.Факел Социализма, 21",Председатель правления,Рожкова Нина Егоровна,Главный бухгалтер,Толочкова Елена Николаевна,Начальник ОЦБиО,Курчатова Ольга Николаевна,44-11-89,24
459,56,09237695,1025800001050,459,045655724,6/1/2010,"ОАО ""Губернский банк ""Тарханы""","440052,г.Пенза,ул.Куйбышева, д.14",Руководитель,Мещеряков Д.В.,Главный бухгалтер,Кубышная Н.А.,экономист,Иваньшина Н.С.,34-31-12,25
469,60,09801345,1026100008384,469,046027835,6/1/2010,"ООО ""Русский Национальный Банк""","344082, г. Ростов-на-Дону, ул. Шаумяна, 38/39",Председатель Правления,Насибуллин С.В.,Главный бухгалтер,Богданова Н.В.,Начальник финансового управления,Насибуллина А.Л.,2-999-419,24
481,60,09141200,1022300003021,481,046027283,6/1/2010,"ООО КБ ""РостФинанс""","344006, г. Ростов-на-Дону, ул. Суворова, 59",Руководитель,Хнкоян Л.В.,Главный бухгалтер,Богун Н.А.,Начальник кредитного отдела,Чубарян Т.А.,(863)250-12-64,19
492,60,09246045,1026100001817,492,046015804,6/1/2010,"ОАО ""Донкомбанк""","344068, г. Ростов-на-Дону, пр. Михаила Нагибина, 32/2",Председатель правления,Л.Г. Мартиди,Главный бухгалтер,Л.В. Коробейникова,Исполнитель,Л.Г. Куделькина,272-54-04,31
514,20,09801995,1023600001963,514,042007700,6/1/2010,"ОАО КБ ""Агроимпульс""","394018, г.Воронеж, пл. Ленина, дом 3",Председатель Правления,Морозовский И.г.,Главный бухгалтер,Парада Е.Д.,Исполнитель,Фатеева Л.В.,495-739-09-03,22
520,03,09801919,1032335000675,520,040326819,6/1/2010,"ООО КБ ""ИСТОК""","352190, Краснодарский край, Гулькевичский район, г. Гулькевичи, ул. Советская,  дом  29А",Председатель Правления,Догадаева Т.С.,Главного бухгалтер,Полянская Р.В.,Начальник отдела экономического анализа,Орлова Л.В.,(86160) 3-34-70,19
531,45,09306835,1022300001569,531,044585519,6/1/2010,"ООО ""ЕВРОКОМБАНК""","109240, г. Москва, ул. Яузская, д. 12",И.о.Председателя Правления,Вежновец Е.В.,И.о.Главного бухгалтера,Попова Н.А.,И.о.Главного бухгалтера,Попова Н.А.,967-77-77,19
532,94,09306841,1021800000177,532,049401825,6/1/2010,"ОАО ""Мобилбанк""","426000, Удмуртская Республика, г.Ижевск,  ул.Свободы, 173",Вице-Президент,Щербакова Е.П.,Главный бухгалтер,Гусева Т.А.,экономист,Салтыков Н.А.,908905 (0142),31
533,45,09306858,1027739082425,533,044525831,6/1/2010,"ОАО КБ ""Флора-Москва""","119049,  г. Москва, ул. Донская, д. 4, стр. 3",Председатель Правления,Шутко Сергей Николаевич,Главный бухгалтер,Новикова Елена Владимировна,Заместитель Главного бухгалтера,Еремина Татьяна Викторовна,959-80-91...95 (вн. 161),19
538,63,09251548,1026400002012,538,046375759,6/1/2010,"ООО ""Промсельхозбанк""","413100, Саратовская область, г.Энгельс, пл.Ленина, 48",И.о. Председателя Правления,Шаповалова Т.Н.,Главный бухгалтер,Ливадная Т.А.,Исполнитель,Артемьева Е.Л.,73-57-59,25
545,30,09275313,1024100000077,545,043002711,6/1/2010,"ОАО ""Камчаткомагропромбанк""","683024, Камчатский край, г.Петропавловск-Камчатский, пр-т 50 Лет Октября, д.5",Первый вице-президент,М.И.Лазарева,Главный бухгалтер,Т.М.Демина,Гл.экономист,Н.П.Грызлова,23-41-77,19
546,45,09320315,1027744005618,546,044552734,6/1/2010,"ОАО ""Принтбанк""","127474,  г.Москва, Дмитровское шоссе, д. 60",И.О. Председателя Правления,Т.А. Бондаренко,Главный бухгалтер,Н.Н. Фетисова,начальник отдела сводной отчетности,Н.В.Перепечина,481-95-70,23
548,45,09309383,1028900000051,548,044579645,6/1/2010,"ЗАО ""СтарБанк""","125040, г. Москва, ул. Правды, 26",Заместитель Председателя правления,Конторщикова Л.Ю.,Главный бухгалтер,Редькин О.Н.,Генеральный менеджер,Егорова М.В.,8(495) 648-95-59,19
568,45,09309454,1027400000154,568,044552311,6/1/2010,"ЗАО КБ ""Златкомбанк""","119071, г. Москва, пр. Донской 2-й, д. 10, стр. 2",Заместитель Председателя Правления,Фомин Ю.Н.,Главный бухгалтер,Щугорев А.Л.,Главный бухгалтер,Щугорев А.Л.,(495) 785-9490,19
575,45,09309526,1028600002199,575,044525738,6/1/2010,"ЗАО АБ ""Капитал""","119334, г. Москва, 5-й Донской проезд, д. 21Б, стр. 10",Президент,Чернова Н.Г.,Главный бухгалтер,Комарова В.И.,Начальник отдела,Борисенков В.А.,958-08-87,24
596,08,09271290,1022700002654,596,040813700,6/1/2010,"КБ ""Уссури"" ОАО","680006, Хабаровский край, г.Хабаровск, ул.Краснореченская, 109",Руководитель,Филиппов Д.Р.,Главный бухгалтер,Глазкова Л.В.,экономист,Паклина М.С.,45-11-89,30
604,45,09301022,1027739222246,604,044525408,6/1/2010,"АКБ ""ПЕРВЫЙ ИНВЕСТИЦИОННЫЙ"" (ЗАО)","127247,  г. Москва, Бескудниковский бульвар, д.36, корпус 1",Президент,Г.В.Алешечкина,Зам.главного бухгалтера,С.С.Сидорова,начальник отдела,И.А.Егорова,4894207,31
606,45,09309802,1027739325624,606,044525429,6/1/2010,"ЗАО КБ ""Гагаринский""","119361,  г. Москва, 2-ой Очаковский пер., д.7",Председатель Правления,Шаров И.Н.,Главный бухгалтер,Лунина А.В.,Заместитель начальника отдела,Романова Г.Е.,430-66-14,24
608,45,09309822,1027739326207,608,044525401,6/1/2010,"АБ ""АСПЕКТ"" (ЗАО)","129327,  г. Москва, Анадырский проезд, д.21",Президент,Борохова И.Я,Главный бухгалтер,Алехнович Т.А.,Зам. начальника ПЭУ,Cтарикова Е.В.,184-14-44,19
609,56,09309839,1025800000995,609,045655707,6/1/2010,"ООО Банк ""Кузнецкий""","440000, г. Пенза, ул. Красная, 104",Председатель Правления,Андреев А.В.,Главный бухгалтер,Макушина Я.В.,Руководитель ССО,Дружинина Т.В.,(8412)23-18-70,29
622,45,09309957,1027700057440,622,044552238,6/1/2010,"ООО КБ ""АСБ""","117447, г. Москва, улица Дмитрия Ульянова, дом 35, строение 1",Председатель Правления,Щекотурова Е.В.,Главный бухгалтер,Кулигина Е.В.,Главный бухгалтер,Кулигина Е.В.,(499) 126-94-04,19
635,45,09307757,1027300001630,635,044552638,6/1/2010,"""НоваховКапиталБанк"" (ЗАО)","105066, г. Москва, ул. Спартаковская, д. 2, корп. 6",Зам. Председателя Правления,Смолькова Светлана Анатольевна,Главный бухгалтер,Туаева Оксана Ханджериевна,Зам.начальника  отдела банковской отчетности,Ковалева Н.В.,(495) 660-55-55,31
637,45,09307770,1027739108979,637,044585445,6/1/2010,"КБ ""ИНВЕСТИЦИОННЫЙ СОЮЗ"" (ООО)","115230, г. Москва, Электролитный проезд, д. 3, стр. 32",Председатель Правления,Расулов М.Р.,Главный бухгалтер,Бунеева О.В.,Главный бухгалтер,Бунеева О.В.,8 (499) 317-11-00,19
646,94,09269011,1021800000090,646,049401871,6/1/2010,"АКБ ""Ижкомбанк"" (ОАО)","426076, Удмуртская Республика, г.Ижевск, ул. Ленина, 30",Директор Банка,Пономарев А.Ю.,И.о.главного бухгалтера,Козлова О.В.,Главный специалист,Аитова Л.М.,919-240,31
655,75,09307935,1027400009790,655,047501782,6/1/2010,"ЗАО ""Челябкомзембанк""","454080, г.Челябинск, пр. Ленина, 89",Генеральный директор,Сысонов С.В.,Главный бухгалтер,Павлова Т.Н.,Гл. экономист,Гуткин А.Д.,211-01-64,19
684,71,09309182,1028600003410,684,047144860,6/1/2010,"ООО КБ ""Сургутский Центральный""","628408, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Энгельса, 12",Заместитель Председателя Правления,Ясюнас Л.Ф.,Главный бухгалтер,Кондратюк С.И.,Начальник ПЭО,Фролова М.А.,51-76-58,19
685,45,09243164,1026000001983,685,044583412,6/1/2010,"ОАО КБ ""РусьРегионБанк""","119049, г. Москва, Калужская площадь., д. 1, корп. 1",Председатель Правления,Жариков Д.И.,Главный бухгалтер,Пирогова И. Ю.,Главный бухгалтер,Пирогова И.Ю.,230-39-69,22
695,83,09128018,1020700000496,695,048327741,6/1/2010,"Банк ""Нальчик"" ООО","360051, Кабардино-Балкарская республика, г.Нальчик, ул. Толстого,77",Председатель Правления,Эндреев Б.А.,Главный бухгалтер,Алехина Г.П.,Исполнитель,Жеттеева Л.М.,77-45-36,20
702,53,09284542,1025600001679,702,045354814,6/1/2010,"ОАО ""НИКО-БАНК""","460000, Оренбургская область, г. Оренбург, пер. Алексеевский, 5",Председатель Правления,Сивелькина С.В.,Главный бухгалтер,Литвинова Т.В.,Старший специалист,Ревкова Ю.Ю.,31-79-16 (219),24
704,53,09284565,1025600001217,704,045354886,6/1/2010,"ОИКБ ""Русь"" (ООО)","460000, Оренбургская область, г. Оренбург, пер.Шевченко, 7",Вице-президент,Каргаполов Игорь Борисович,Главный бухгалтер,Коннова Любовь Александровна,Исполнитель,Анпилогова Екатерина Владимировна,780985(вн.228),22
708,92,40654987,1021600000014,708,049205844,6/1/2010,"ООО КБЭР ""Банк Казани""","420066, г.Казань, ул.Солдатская, д.1",Заместитель Председателя Правления,Е.Н. Тихонова,Главный бухгалтер,Е.Н. Лаврентьева,Начальник отдела финансовой отчетности и экономического анализа,Э.Л. Зарипова,527-86-73,19
720,41,25855470,1024700000071,720,044109722,6/1/2010,"ОАО ""Выборг-банк""","188800 Ленинградская область, город Выборг, улица Пионерская, дом 2",Председатель Правления,Тучина А.В.,Гл. бухгалтер,Самохвалова М.А.,Нач. экономического отдела,Балашова М.А.,(81378)25775,31
728,92,09265198,1021600002500,728,049205708,6/1/2010,"ООО ""ТАТАГРОПРОМБАНК""","420097, Республика Татарстан, г.Казань, ул.Зинина, д.4",Председатель Правления,Галеева А. А.,Главный бухгалтер,Каргаполова Т. П.,Зам. начальника ОАУР,Мельникова Е. В.,(843)519-32-96,24
732,22,09116810,1025200000352,732,042282751,6/1/2010,"ОАО КБ ""Ассоциация""","603000, г.Нижний Новгород, ул.М.Горького, 61",Первый зам. Председателя Правления,Митропольский О.В.,Главный бухгалтер,Максимова М.В.,Специалист,Богорадова И.В.,433 00 70,19
752,89,9188382,1021300001656,752,048952729,6/1/2010,"ОАО КБ ""МПСБ""","430005, г.Саранск, ул.Б.Хмельницкого, 36-а",Первый Заместитель Председателя Правления,Тивикова З.В.,И.О.Главного бухгалтера,Орешина Е.В.,Старший экономист,Исаева Н.В.,29-78-47,19
777,28,09131011,1026900001765,777,042809707,6/1/2010,"ОАО ""Тверьуниверсалбанк""","170100, г.Тверь, ул.Володарского, 34",Президент,Козырева А.М.,Главный бухгалтер,Бордина Е.Ф.,Контролер РЦБ  главный экономист управле,Шелогурова М.М.,(4822) 35-95-27,29
779,07,09231190,1022600000114,779,040724712,6/1/2010,"ООО ""РУСБС""","357350, Ставропольский край, Предгорный район, ст. Ессентукская, ул. Гагарина, 148",Руководитель,Арзиманова В.С.,Главный бухгалтер,Шилова Л.И.,исполнитель,Попова Г.Ф.,(87961)5-18-54,24
783,08,09271054,1022700000685,783,040825773,6/1/2010,"ОАО ""Роял Кредит Банк""","681000,  Хабаровский край, г.Комсомольск-на-Амуре, ул.Партизанская,15",Председатель правления,Т.В.Ненкина,Главный бухгалтер,М.М.Плеханова,Начальник ПЭО,Шарангович И.И.,54-57-20,24
804,49,09316087,1025300000175,804,044959775,6/1/2010,"ЗАО ""НКБ ""СЛАВЯНБАНК""","173004  Новгородская обл., г.Великий Новгород, ул.Черемнова-Конюхова, д.12",Председатель Правления,Титов В.И.,Главный бухгалтер,Зенкевич Н.А.,Зам. начальника ПЭО,Родин А.В.,66-52-53,19
817,92,09265674,1021600000586,817,049205772,6/1/2010,"АКБ ""Заречье"" (ОАО)","420032, г.Казань, ул.Лукницкого, д.2",Вице-президент,Одинцова Е.И.,Главный бухгалтер,Тычкина О.И.,Исполнитель,Морозова Л.Н.,557-59-21,19
840,79,09143050,1020100001899,840,047908700,6/1/2010,"ОАО АКБ ""Новация""","385011, Республика Адыгея,г.Майкоп, ул.Димитрова, д.4, корпус 1",Председатель Правления,Мещерякова Е.А.,Главный бухгалтер,Сайфутдинова Д.С.,Зав.сектора отчетно-аналитической работы,Чермит А.Х.,56-80-32,19
857,64,09316609,1026500538240,857,046401727,6/1/2010,"КБ ""Долинск"" (ЗАО)","693007, Сахалинская область, г. Южно-Сахалинск, пр. Мира, 119-а",Руководитель,Нестеров Д.В.,Главный бухгалтер,Терина О.А.,Гл. специалист,Ефимова Ю.В.,723683,19
860,04,09144261,1022400010005,860,040452720,6/1/2010,"КБ ""Канский"" ООО","663600, Красноярский край, г. Канск, ул.Власть Советов, 1",Председатель Правления,Гаврилова Светлана Антоновна,Главный бухгалтер,Бурмакина Светлана Владимировна,Начальник Управления РКО,Пиминова Ирина Александровна,(39161) 2-04-95,31
874,83,09128115,1020700000617,874,048341752,6/1/2010,"Банк ""Прохладный"" ООО","361045, Кабардино-Балкарская республика, г.  Прохладный, ул.Ленина, 115",Председатель правления,Черешкова О.Н.,Главный Бухгалтер,Иваненко В.Н.,начальник отдела,Рудаков Д.Е.,4-61-12,18
875,57,0918546,1025900000510,875,045773756,6/1/2010,"ОАО АКБ ""Пермь""","614000, г. Пермь,  ул. Куйбышева, 10",Председатель Правления,Саранская Л.В.,Главный бухгалтер,Утятников А.Г.,Экономист,Саранская Н.В.,(342) 235-11-40,19
901,19,09108414,1023500002404,901,041946747,6/1/2010,"ОАО ""Меткомбанк""","162623, Вологодская обл., г.Череповец, ул. Краснодонцев, 57А",Зам.Председателя Правления,Казак А.П.,И.О.главного бухгалтера,Коптелова В.В.,Исполнитель,Федотова О.А.,(8202) 535332,25
903,17,09109307,1023300000063,903,041708706,6/1/2010,"ЗАО ""Владбизнесбанк""","600015, г.Владимир, пр-т Ленина,35",Зам.Председателя Правления-Начальник Экономического отдела,Соловьев С.В.,Гл.бухгалтер,Антропова И.Г.,Экономист,Синякова Е.В.,54-19-83,29
912,45,09317135,1027739179160,912,044525600,6/1/2010,"ОАО ""МИнБ""","115419,  г. Москва, ул.Орджоникидзе, д.5",Вице-президент,Добрин Д.Л.,Зам. главного бухгалтера,Ванифатова Г.В.,Главный экономист,Баранова Н.В.,735-41-99,31
914,28,09131057,1026900000016,914,042809701,6/1/2010,"КБ ""КБЦ"" /ООО/","170000, г. Тверь, ул.Малая Самара, дом 9, корпус 1",Председатель правления,В.Н. Терентьева,Главный бухгалтер,М.Д. Григоращенко,Начальник,Гаврилова Е.В.,35-85-91,19
917,71,09317187,1027200000080,917,047102885,6/1/2010,"ЗАО ""ТЮМЕНЬАГРОПРОМБАНК""","625023, Тюменская область, г. Тюмень, ул. Одесская, 33",Директор,Безгодова А.П.,Главный бухгалтер,Сергеева Л.Г.,Исполнитель,Чистякова А.С.,32-08-74,19
918,71,09268282,1028900001460,918,047130639,6/1/2010,"""Запсибкомбанк"" ОАО","625000, Тюменская область, г. Тюмень,  ул. 8-е Марта, 1",Руководитель,Горицкий Д.Ю.,Главный бухгалтер,Котова Г.А.,Исполнитель            Ведущий зкономист,Пелымская В.И.,25-73-23,31
927,24,09123046,1023700000169,927,042406707,6/1/2010,"АКБ ""Акция"" ОАО","153000, г.Иваново, ул.Ташкентская, 14",Председатель правления,Хаченков С.И.,Главный бухгалтер,Куроед О.Ю.,Руководитель отдела отчетности,Магерова А.В.,32-87-69,19
937,45,09251146,1026400001803,937,044552706,6/1/2010,"ЗАО ""ОРБАНК""","115280, г. Москва, ул. Ленинская Слобода, д. 19, стр. 32",Председатель Правления,Черников Ю.С.,Главный бухгалтер,Ерофеева Е.Н.,Начальник Управления планирования и отчетности,Колбас Ж.М.,771-71-01,19
948,45,09317460,1027739109914,948,044525209,6/1/2010,"ЗАО ""МОССТРОЙЭКОНОМБАНК""","117393,  г. Москва, ул. Профсоюзная, д. 78",Председатель Правления,Гуськов А.Б.,Главный бухгалтер,Камерист Л.И.,Начальник отдела финансовой отчетности,Санжаревская О.Г.,787-38-38 (доб.232),31
963,34,9139030,1024400001779,963,043469743,6/1/2010,"ООО ИКБ ""Совкомбанк""","156000, г. Кострома, пр. Текстильщиков, д. 46",Заместитель Председателя Правления банка,Голубев С.И.,Главный бухгалтер,Христенок М.И.,Исполнитель,Адаев Б.В.,988-00-00,31
965,65,09253317,1026600001823,965,046524721,6/1/2010,"ЗАО ""ПЕРВОУРАЛЬСКБАНК""","623109, Свердловская область, г.Первоуральск, пр. Ильича, 9 б","Председатель Правления ЗАО ""Первоуральскбанк""",Романов М.С.,Главный бухгалтер,Метелева А.М.,экономист,Огородникова Е.В.,(34392) 64-15-43,30
1003,41,12187601,1026200000837,1003,044106741,6/1/2010,"""СПОРТИНВЕСТБАНК"" ООО","188662, Ленинградская область, Всеволожский район, п.Мурино, ул. Центральная, д.46",Первый Зам. Председателя Правления,Сухов И.З.,Главный бухгалтер,Мороз Г.В.,Ведущий специалист,Гущенко Н.А.,318-53-74,19
1025,84,16250087,1020400000070,1025,048405713,6/1/2010,"ООО КБ ""Эл банк""","649000 , Республика Алтай , г.Горно-Алтайск , ул.Э.Палкина,2",Руководитель,Гордеева А.М.,Главный бухгалтер,Чеканцева И.В.,Ведущий специалист,Толстихина С.Ю.,2-77-58,19
1037,84,16250070,1020400000400,1037,048405712,6/1/2010,"ООО КБ ""Майма""","649000, Республика Алтай, г.Горно-Алтайск, ул.Чорос-Гуркина, 29",Генеральный директор,Кочеева Т.Б.,Главный бухгалтер,Кабардина О.В.,Специалист кредитного отдела,Кощеева Е.А.,47-1-45,19
1043,46,09211551,1025000000090,1043,044695151,6/1/2010,"ЗАО ""Промсбербанк""","142110, Московская область, г. Подольск, ул. Кирова, д.19",ПРЕДСЕДАТЕЛЬ  ПРАВЛЕНИЯ,БАРАНОВА  В.Л.,ГЛАВНЫЙ БУХГАЛТЕР,КОВАЛЕВА В.В.,Начальник финансового управления,ЛАВРУЩЕВА О.Н.,933-58-06,19
1049,95,46224302,1021900002563,1049,049514745,6/1/2010,"ООО ""Хакасский муниципальный банк""","655017, Республика Хакасия, г.Абакан, ул.Хакасская, 73",Председатель правления,Сидорова О.Н.,Главный бухгалтер,Шиленко Н.В.,Исполнитель,Саркина Э.А.,34-34-52,31
1050,14,09803255,1023100000857,1050,041424725,6/1/2010,"ООО ""Осколбанк""","309511, Белгородская область, г. Старый Оскол, мкр. Олимпийский, 62",ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ,Волков Ф.Н.,Главный бухгалтер,Плутахина Е.Н.,Ведущий специалист ПЭО,Лукина Е.А.,(4725) 44-98-38,19
1059,45,09286311,1027739435668,1059,044579721,6/1/2010,"КБ ""МРБ"" (ООО)""","109341, г. Москва, ул. Люблинская, д. 151",Председатель Правления,Леонова Л. Д.,Главный бухгалтер,Помогаев А.В.,Начальник Отдела отчетности,Москачева М.В.,921-19-94,19
1060,97,09286274,1022100008325,1060,049706717,6/1/2010,"КБ ""БДБ"" (ООО)","429060, Чувашская Республика, г.Ядрин, ул.Красноармейская, 5",Руководитель,Ерзин К.Н.,Главный бухгалтер,Погодина Н.В.,Ведущий специалист кредитного отдела,Иванова И.Ю.,22-5-65,24
1065,45,09318525,1027739544425,1065,044552118,6/1/2010,"АКБ ""Традо-Банк"" (ЗАО)","119017, Москва, ул. Малая Ордынка, дом 20, стр.1",Председатель Правления,Е.М.Костенко,Главный бухгалтер,В.А.Городничев,Заместитель главного бухгалтера,Н.Ю.Труфанова,953-60-34,19
