REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_5
233,78,12657633,1027600000097,233,047888700,2/1/2011,"АБ ""Регион"" (ОАО)","150000,  Ярославская область, г. Ярославль,  ул. Комсомольская, 6","Президент АБ ""Регион"" (ОАО)",Рачкова И.М.,"Главный бухгалтер АБ ""Регион"" (ОАО)",Славнова Е.А.,Директор Казначейства,Покровская М.Н.,72-18-77,21
236,45,17546329,1027739412359,236,044585728,2/1/2011,"ООО ""СПЕЦСТРОЙБАНК""","109004,  г. Москва, ул. Александра Солженицына, д. 12, стр. 4",Зам. Председателя Правления,Логунова Т.Ю.,Зам. Главного бухгалтера,Саргина А.В.,Зам. Главного бухгалтера,Саргина А.В.,755-56-66 (160),15
249,57,0980754,1025900000048,249,045773790,2/1/2011,"ОАО АКБ ""Урал ФД""","614990, г. Пермь, ул. Ленина, 64",Зам. Председателя Правления,Яцков А.С.,Главный бухгалтер,Попова М.Б.,руководитель группы,Ощепкова Е.В.,240-10-88,19
254,33,10919075,1024300000042,254,043304711,2/1/2011,"ОАО КБ ""Хлынов""","610002, г.Киров, ул. Урицкого, д. 40",Председатель Правления,Попов Н.В.,Главный бухгалтер,Шамсеева С.В.,исполнитель,Садаков Ю.В.,204777 доб.0202,31
256,45,09807336,1026900005307,256,044552911,2/1/2011,"ОАО ""ГУТА-БАНК""","107078, г. Москва, Орликов пер., д. 5, стр. 3",Президент,Чирков Владимир Николаевич,Главный бухгалтер,Кривенко Наталья Владимировна,Начальник отдела отчетности,Ларькина Наталья Александровна,(4822) 34-74-71,15
272,45,09807649,1027739137535,272,044583544,2/1/2011,"АКБ ""ИРС"" (ЗАО)","127422,  г. Москва, ул.Тимирязевская, д.26",Вице-Президент банка,Башаев Р.М.,Главный бухгалтер,Чернигова Г.Н.,Начальник отдела отчетности,Шубина Л.В.,976-93-87,15
286,45,09807833,1027700207490,286,044552620,2/1/2011,"Коммерческий Банк ""Аскания Траст"" (ООО)","101000,  г. Москва, ул. Покровка, д. 10, стр. 1",Председатель Правления     (Президент),Кузьмина Н.В.,Главный бухгалтер,Пономарева В.С.,Главный бухгалтер,Пономарева В.С.,"921-02-00, 624-45-58",15
312,22,09809068,1025200000528,312,042202722,2/1/2011,"ЗАО ""ВОКБАНК""","603950, г.Нижний Новгород, улица Полтавская, д.14","Председатель правления ЗАО ""ВОКБАНК""",Шаронов А.В.,Гл.Бухгалтер,Фабричнова Н.П.,Начальник отдела финансовой отчетности,Крутова Н.О.,421-45-94,18
316,45,09807804,1027700280937,316,044585216,2/1/2011,"ООО ""ХКФ Банк""","125040, г. Москва, ул. Правды, д. 8, корпус 1",Председатель Правления,Свитек И.,Зам. Главного бухгалтера,Белецкая Л.Н.,Начальник отдела подг. эк. отч. и расч. норм.,Кульков Д.С.,956-86-12,31
323,50,09804094,1025400001571,323,045004821,2/1/2011,"ОАО ""МДМ Банк""","630004,  г. Новосибирск, улица Ленина, 18",Председатель правления,Тимофеев Сергей Никитович,Главный бухгалтер,Ахметзянов Руслан Рафикович,Руководитель направления,Журавлева Любовь Александровна,(383)227-81-73,31
