REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,C2_5
385,71,09804622,1027200000321,385,047102861,10/1/2012,"ОАО ""СИБНЕФТЕБАНК""","625000, Тюменская область, г. Тюмень, ул. Первомайская, д. 39.",20
391,46,16967282,1025000003071,391,044552362,10/1/2012,"ОАО ""АБ ""ПУШКИНО""","141200, Московская область, г. Пушкино, микрорайон Дзержинец, д. 1",30
404,04,09804740,1022400001084,404,040407816,10/1/2012,"ООО КБ ""СТРОМКОМБАНК""","660021, г. Красноярск, ул. Горького, д. 3 ""А""",25
410,50,09224971,1025400003420,410,045004897,10/1/2012,"ОАО ""НОМОС-БАНК-Сибирь""","630102, г. Новосибирск, ул.Кирова, 44",25
429,65,09809128,1026600000350,429,046577795,10/1/2012,"ОАО ""УБРиР""","620014, г.Екатеринбург, ул. Сакко и Ванцетти, д.67",30
430,03,09804964,1022300000447,430,040349772,10/1/2012,"ОАО АБ ""КУБАНЬБАНК""","350080, г. Краснодар, ул. Уральская, 97",20
435,45,09801026,1037700041323,435,044525186,10/1/2012,"""АЛОР БАНК"" (ОАО)","115419, г.Москва, ул. Орджоникидзе, д. 5, корп. 2",30
436,40,09804728,1027800000140,436,044030790,10/1/2012,"ОАО ""Банк ""Санкт-Петербург""","195112, Санкт-Петербург, Малоохтинский пр., д. 64, лит. А",20
438,92,09265964,1021600000840,438,049240785,10/1/2012,"ООО ""Камкомбанк""","423807, Республика Татарстан, г.Набережные Челны, ул. Гидростроителей, д.21",20
444,63,09801109,1026400002265,444,046359728,10/1/2012,"ОАО ""БАЛАКОВО-БАНК""","413840, Саратовская область, г.Балаково, ул.Факел Социализма, 21",25
456,03,09141191,1022300002670,456,040349569,10/1/2012,"АКБ ""Крыловский"" (ОАО)","350059, г. Краснодар, Центральный округ, ул. 9-го Мая, дом № 46а",26
466,60,09801316,1026100002180,466,046032846,10/1/2012,"ОАО КБ ""Максимум""","347382, Ростовская область, г. Волгодонск, ул. Черникова, 3",20
467,03,09801322,1022300001272,467,040349808,10/1/2012,"ООО КБ ""Новопокровский""","350059, г. Краснодар, Карасунский внутригородской округ, ул. Волжская, 47/ул. им. Глинки, 77",25
469,60,09801345,1026100008384,469,046027835,10/1/2012,"ООО ""Русский Национальный Банк""","344082, г. Ростов-на-Дону, ул. Шаумяна, 38/39",25
474,04,09144918,1022400007508,474,040407795,10/1/2012,"АКБ ""ЕНИСЕЙ"" (ОАО)","660075, г. Красноярск, ул. Республики, дом 51",25
478,03,20702891,1022300000502,478,040349718,10/1/2012,"ЗАО ""Кубаньторгбанк""","350063, г. Краснодар, Центральный округ, ул. Комсомольская, д. 4.",20
480,92,09265013,1021600000256,480,049205703,10/1/2012,"ЗАО ""ТАТСОЦБАНК""","420111, г.Казань, ул.Чернышевского, 18/23",25
481,60,09141200,1022300003021,481,046027283,10/1/2012,"ООО КБ ""РостФинанс""","344006, г. Ростов-на-Дону, ул. Суворова, 59",21
485,75,09801500,1027400000110,485,047501711,10/1/2012,"ОАО ""ЧЕЛИНДБАНК""","454091, г.Челябинск, ул.К.Маркса, 80",30
492,60,09246045,1026100001817,492,046015804,10/1/2012,"ОАО ""Донкомбанк""","344068, г. Ростов-на-Дону, пр. Михаила Нагибина, 32/2",30
493,75,09801575,1027400001650,493,047501779,10/1/2012,"ОАО ""ЧЕЛЯБИНВЕСТБАНК""","454113, г.Челябинск, пл.Революции, 8",30
503,64,09801670,1026500000141,503,046423716,10/1/2012,"ЗАО ""Холмсккомбанк""","694620, Сахалинская область, г. Холмск, ул. Победы, 16",30
507,71,09801718,1028900001360,507,047102766,10/1/2012,"ЗАО ""Приполяркомбанк""","625023, г. Тюмень, ул. Пржевальского, 41, корп. 1/1",20
518,03,09306717,1022300001063,518,040349715,10/1/2012,"Банк ""Первомайский"" (ЗАО)","350020, г. Краснодар, ул. Красная, 139",20
520,03,09801919,1032335000675,520,040326819,10/1/2012,"ООО КБ ""Финанс Бизнес Банк""","352190, Краснодарский край, Гулькевичский район, г. Гулькевичи, ул. Советская,  дом  29А",20
524,73,09306769,1027300000166,524,047308813,10/1/2012,"ЗАО Банк ""Венец""","432071, г. Ульяновск, ул. Марата, 19",20
533,45,09306858,1027739082425,533,044525831,10/1/2012,"ОАО КБ ""Флора-Москва""","119049,  г. Москва, ул. Донская, д. 4, стр. 3",25
537,71,09306870,1028600002100,537,047169777,10/1/2012,"ЗАО АКБ ""Приобье""","628616, Тюменская область, Ханты-Мансийский автономный округ,  г. Нижневартовск, просп. Победы, 18-а",30
538,45,09251548,1026400002012,538,044579771,10/1/2012,"ООО ""Промсельхозбанк""","119048, г. Москва, ул. Усачева, д. 62",30
539,08,09271019,1022700000047,539,040813737,10/1/2012,"ОАО ""НОМОС-РЕГИОБАНК""","680000, г. Хабаровск, Амурский бульвар, дом 18",25
543,82,25098388,1020500001422,543,048209769,10/1/2012,"КБСР ""Дагестан"" ООО","367020, Республика Дагестан, г. Махачкала, ул.Даниялова, 12",19
