REGN,C1_5
1052,3/12/2011
1052,3/13/2011
1052,3/19/2011
1052,3/20/2011
1052,3/26/2011
1052,3/27/2011
1059,3/6/2011
1059,3/7/2011
1059,3/8/2011
1059,3/12/2011
1059,3/13/2011
1059,3/19/2011
1059,3/20/2011
1059,3/26/2011
1059,3/27/2011
1060,3/7/2011
1060,3/8/2011
1060,3/13/2011
1060,3/20/2011
1060,3/27/2011
1067,3/6/2011
1067,3/7/2011
1067,3/8/2011
1067,3/12/2011
1067,3/13/2011
1067,3/19/2011
1067,3/20/2011
1067,3/26/2011
1067,3/27/2011
1068,3/6/2011
1068,3/7/2011
1068,3/8/2011
1068,3/12/2011
1068,3/13/2011
1068,3/19/2011
1068,3/20/2011
1068,3/26/2011
1068,3/27/2011
1073,3/6/2011
1073,3/7/2011
1073,3/8/2011
1073,3/12/2011
1073,3/13/2011
1073,3/19/2011
1073,3/20/2011
1073,3/26/2011
1073,3/27/2011
1084,3/6/2011
1084,3/7/2011
1084,3/8/2011
1084,3/12/2011
1084,3/13/2011
1084,3/19/2011
1084,3/20/2011
1084,3/26/2011
1084,3/27/2011
1087,3/6/2011
1087,3/8/2011
1087,3/13/2011
1087,3/20/2011
1087,3/27/2011
1088,3/6/2011
1088,3/7/2011
1088,3/8/2011
1088,3/12/2011
1088,3/13/2011
1088,3/19/2011
1088,3/20/2011
1088,3/26/2011
1088,3/27/2011
1093,3/7/2011
1093,3/8/2011
1093,3/13/2011
1093,3/20/2011
1093,3/27/2011
1114,3/6/2011
1114,3/7/2011
1114,3/8/2011
1114,3/12/2011
1114,3/13/2011
1114,3/19/2011
1114,3/20/2011
1114,3/26/2011
1114,3/27/2011
1115,3/6/2011
1115,3/7/2011
1115,3/8/2011
1115,3/12/2011
1115,3/13/2011
1115,3/19/2011
1115,3/20/2011
1115,3/26/2011
1115,3/27/2011
1118,3/6/2011
1118,3/7/2011
1118,3/8/2011
1118,3/12/2011
1118,3/13/2011
1118,3/19/2011
1118,3/20/2011
1118,3/26/2011
1118,3/27/2011
1121,3/6/2011
1121,3/7/2011
1121,3/8/2011
1121,3/12/2011
1121,3/13/2011
1121,3/19/2011
1121,3/20/2011
1121,3/26/2011
1121,3/27/2011
1134,3/6/2011
1134,3/7/2011
1134,3/8/2011
1134,3/12/2011
1134,3/13/2011
1134,3/19/2011
1134,3/20/2011
1134,3/26/2011
1134,3/27/2011
1136,3/6/2011
1136,3/7/2011
1136,3/8/2011
1136,3/12/2011
1136,3/13/2011
1136,3/19/2011
1136,3/20/2011
1136,3/26/2011
1136,3/27/2011
1137,3/5/2011
1137,3/6/2011
1137,3/7/2011
1137,3/8/2011
1137,3/13/2011
1137,3/19/2011
1137,3/20/2011
1137,3/26/2011
1137,3/27/2011
1137,3/28/2011
1139,3/6/2011
1139,3/7/2011
1139,3/8/2011
1139,3/12/2011
1139,3/13/2011
1139,3/19/2011
1139,3/20/2011
1139,3/26/2011
1139,3/27/2011
1143,3/6/2011
1143,3/7/2011
1143,3/8/2011
1143,3/12/2011
1143,3/13/2011
1143,3/19/2011
1143,3/20/2011
1143,3/26/2011
1143,3/27/2011
1144,3/6/2011
1144,3/8/2011
1144,3/13/2011
1144,3/20/2011
1144,3/27/2011
1151,3/7/2011
1151,3/8/2011
1151,3/13/2011
1151,3/20/2011
1151,3/27/2011
1158,3/7/2011
1158,3/8/2011
1165,3/6/2011
1165,3/7/2011
1165,3/8/2011
1165,3/12/2011
1165,3/13/2011
1165,3/19/2011
1165,3/20/2011
1165,3/26/2011
1165,3/27/2011
1166,3/6/2011
1166,3/7/2011
1166,3/8/2011
1166,3/12/2011
1166,3/13/2011
1166,3/19/2011
1166,3/20/2011
1166,3/26/2011
1166,3/27/2011
1184,3/8/2011
1184,3/13/2011
1184,3/20/2011
1184,3/27/2011
1189,3/8/2011
1189,3/13/2011
1189,3/20/2011
1189,3/27/2011
1197,3/6/2011
1197,3/7/2011
1197,3/8/2011
1197,3/12/2011
1197,3/13/2011
1197,3/19/2011
1197,3/20/2011
1197,3/26/2011
1197,3/27/2011
1202,3/6/2011
1202,3/7/2011
1202,3/8/2011
1202,3/12/2011
1202,3/13/2011
1202,3/19/2011
1202,3/20/2011
1202,3/26/2011
1202,3/27/2011
1203,3/7/2011
1203,3/8/2011
1203,3/13/2011
1203,3/20/2011
1203,3/27/2011
1222,3/6/2011
1222,3/7/2011
