REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_4
316,45,09807804,1027700280937,316,044585216,12/1/2010,"ООО ""ХКФ Банк""","125040, г. Москва, ул. Правды, д. 8, корпус 1",1-ый Зам. Председателя Правления,Мосолов Д.В.,Зам. Главного бухгалтера,Белецкая Л.Н.,Начальник отдела подг. эк. отч. и расч. норм.,Кульков Д.С.,956-86-12,30
323,50,09804094,1025400001571,323,045004821,12/1/2010,"ОАО ""МДМ Банк""","630004,  г. Новосибирск, улица Ленина, 18",Заместитель генерального директора,Гайдук Александр Егорович,Главный бухгалтер,Ахметзянов Руслан Рафикович,Руководитель направления,Журавлева Любовь Александровна,(383)227-81-73,30
324,45,09804102,1037739057070,324,044525057,12/1/2010,"ОАО ""БАНК РОССИЙСКИЙ КРЕДИТ""","125252,  г. Москва, ул. Сальвадора Альенде, д. 7",Председатель Правления,Лысенко П.И.,Главный  бухгалтер - Директор Финансового Департамента,Парамонов Ю.Н.,Начальник отдела,Грачева Л.А.,785-06-26,21
328,40,09804148,1027800000084,328,044030861,12/1/2010,"ОАО ""АБ ""РОССИЯ""","191124, Санкт-Петербург, пл. Растрелли, 2, литер А",Председатель Правления,Лебедев Д.А.,Главный бухгалтер,Кабалина Ф.Х.,Зам.начальника отдела,Комарова Е.О.,335-82-53,30
330,63,09809080,1026400002089,330,046311755,12/1/2010,"ООО Банк ""Саратов""","410071, г.Саратов, ул.Шелковичная, 177",Председатель Правления,Мумлева Ирина Юрьевна,Главный бухгалтер,Масликова Елена Ивановна,Ведуший экономист,Скрипкина Н.А.,560-036,21
347,82,09804326,1020500002357,347,048209711,12/1/2010,"ООО ""НОВЫЙ КОММЕРЧЕСКИЙ БАНК""","367027, Республика Дагестан, г. Махачкала, ул. Казбекова, 161а.",Зам. Председателя Правления,Меджидова А.М.,Главный бухгалтер,Абдурахманова Л.В.,экономист,Адилов Г.М.,644924,20
356,40,09804384,1027800000183,356,044030758,12/1/2010,"ОАО ""Витабанк""","195220, Санкт-Петербург, пр. Непокоренных,17, корп 4, литер В",И.о. Председателя Правления,Бахов Александр Евгеньевич,Главный Бухгалтер,Боброва Ирина Леонидовна,Ведущий консультант,Мухина Юлия Владимировна,535-81-28,21
370,45,09801960,1027700412893,370,044583209,12/1/2010,"Банк ""Новый Символ"" (ЗАО)","123007,  г. Москва, 2-й Силикатный проезд, д.8",Первый зам. Председателя Правления,Зиновьев С.В.,Заместитель главного бухгалтера,Соколова Ю.В.,Специалист отдела отчетности,Пацерук Т.П.,(499) 946-54-02,21
384,46,09804616,1025000006350,384-К,044552691,12/1/2010,"НКО ""СПРП"" (ООО)","141300, Московская область,г. Сергиев Посад, ул.Бероунская, д.1",Председатель Правления,Разживин Дмитрий Владимирович,Главный бухгалтер,Далакян Альберт Арташесович,Зам. начальника отдела сводной отчетности,Сорокина Светлана Николаевна,721-26-10 (доб. 107),29
385,71,09804622,1027200000321,385,047102861,12/1/2010,"ОАО ""СИБНЕФТЕБАНК""","625000, Тюменская область, г. Тюмень, ул. Первомайская, д. 39.","Президент ОАО ""СИБНЕФТЕБАНК""",А.Э. Халитов,Главный бухгалтер,И.А. Ковень,Исполнитель,И.А. Кучина,8(3452)799-206,21
391,46,16967282,1025000003071,391,044552362,12/1/2010,"ОАО ""АБ ""ПУШКИНО""","141200, Московская область, г. Пушкино, микрорайон Дзержинец, д. 1",Председатель Правления,Слыщенко О.В.,Главный бухгалтер,Урбонавичюс А.Р.,Зам. нач. отдела отчетности,Михальченкова О.В.,993-46-70,30
410,50,09224971,1025400003420,410,045004897,12/1/2010,"ОАО ""НОМОС-БАНК-Сибирь""","630102, г. Новосибирск, ул.Кирова, 44",Президент,Демчук И.Н.,Главный бухгалтер,Дударева М.М.,Ведущий специалист,Камнева И.Ю.,210-11-86,24
429,65,09809128,1026600000350,429,046577795,12/1/2010,"ОАО ""УБРиР""","620014, г.Екатеринбург, ул. Сакко и Ванцетти, д.67",Вице-президент,Крохин А.Г.,Зам. главного бухгалтера,Заголовцева М.Г.,Ведущий экономист,Мартьянова Ю.В.,228-19-78,30
430,03,09804964,1022300000447,430,040349772,12/1/2010,"ОАО АБ ""КУБАНЬБАНК""","350080, г. Краснодар, ул. Уральская, 97",Президент,Р.В.Дусенко,Зам.главного бухгалтера,Е.А.Михеева,главный специалист,Гондарь Л.В.,267-30-68 доб. 5231,21
435,45,09801026,1037700041323,435,044525186,12/1/2010,Банк СКТ (ОАО),"105064, г. Москва, ул. Земляной вал, д. 9",И.о. Председателя Правления,В.Ю. Вашкевич,Главный бухгалтер,Г.В. Баркова,Начальник отдела отчетности Управления бух.учета и отчетности,М.И. Соколова,721-90-42 доб. 39-10,21
436,40,09804728,1027800000140,436,044030790,12/1/2010,"ОАО ""Банк ""Санкт-Петербург""","191167, Санкт-Петербург, Невский пр., 178, литера А",Заместитель Председателя Правления,Реутов В.Г.,И.о. Главного бухгалтера,Томилина Н.Г.,Главный специалист,Пикуля Е.В.,329-50-00 (57-22),21
438,92,09265964,1021600000840,438,049240785,12/1/2010,"ООО ""Камкомбанк""","423807, Республика Татарстан, г.Набережные Челны, ул. Гидростроителей, д.21",Председатель Правления,Габдуллина Р.М.,Главный бухгалтер,Тонгузова Н.Б.,Старший экономист,Фазлыева Э.Р.,(8552) 700-194,21
444,63,09801109,1026400002265,444,046359728,12/1/2010,"ОАО ""БАЛАКОВО-БАНК""","413840, Саратовская область, г.Балаково, ул.Факел Социализма, 21",Председатель правления,Рожкова Нина Егоровна,Главный бухгалтер,Толочкова Елена Николаевна,Начальник ОЦБиО,Курчатова Ольга Николаевна,44-11-89,25
456,03,09141191,1022300002670,456,040349569,12/1/2010,"АКБ ""Крыловский"" (ОАО)","350020, г. Краснодар, ул. Дзержинского, 3/2",Зам. Генерального директора,Олифирова Н.С.,Зам. главного бухгалтера,Слухаенко Т.Н.,Бухгалтер,Сорочинская А.Б.,224-81-14,27
459,56,09237695,1025800001050,459,045655724,12/1/2010,"ОАО ""Губернский банк ""Тарханы""","440052,г.Пенза,ул.Куйбышева, д.14",Руководитель,Мещеряков Д.В.,Главный бухгалтер,Кубышная Н.А.,Главный специалист,Земцов Т.В.,209-370,24
466,60,09801316,1026100002180,466,046032846,12/1/2010,"ОАО КБ ""Максимум""","347382, Ростовская область, г. Волгодонск, ул. Черникова, 3",Председатель Правления,Свиткин М.П.,Главный бухгалтер,Ревенко А.В.,исполнитель,Лебедева С.М.,(8639)26-36-00,21
467,03,09801322,1022300001272,467,040373547,12/1/2010,"ООО КБ ""Новопокровский""","350020, г. Краснодар, Центральный округ, ул. Красная, 184/1",И.о. председателя правления,Пархоменко Ю.Е.,И.о. главного бухгалтера,Павлоградская Д.С.,Нач. управления бухгалтерской отчетности,Залетаева Е.Г.,259-90-10(207),21
469,60,09801345,1026100008384,469,046027835,12/1/2010,"ООО ""Русский Национальный Банк""","344082, г. Ростов-на-Дону, ул. Шаумяна, 38/39",Председатель Правления,Насибуллин С.В.,Главный бухгалтер,Богданова Н.В.,Начальник финансового управления,Насибуллина А.Л.,2-999-419,26
474,04,09144918,1022400007508,474,040407795,12/1/2010,"АКБ ""ЕНИСЕЙ"" (ОАО)","660075, г. Красноярск, ул. Республики, дом 51",Председатель Правления,И.Р. Антипина,Главный бухгалтер,Е.Н. Барская,Исполнитель,О.А. Мухамадуллина,229-05-98,23
478,03,20702891,1022300000502,478,040349718,12/1/2010,"ЗАО ""Кубаньторгбанк""","350063, г. Краснодар, ул. Мира, 35",и.о. Председателя Правления,Локотченко Е.А.,Главный бухгалтер,Веретенникова С.И.,начальник отдела кредитования и экономического анализа,Гордиевская И.М.,268-49-32,21
481,60,09141200,1022300003021,481,046027283,12/1/2010,"ООО КБ ""РостФинанс""","344006, г. Ростов-на-Дону, ул. Суворова, 59",Руководитель,Хнкоян Л.В.,Главный бухгалтер,Богун Н.А.,Начальник кредитного отдела,Чубарян Т.А.,(863)250-12-64,21
485,75,09801500,1027400000110,485,047501711,12/1/2010,"ОАО ""ЧЕЛИНДБАНК""","454091, г.Челябинск, ул.К.Маркса, 80","Первый Заместитель Генерального директора ОАО ""ЧЕЛИНДБАНК""",Т.В. Храбрых,Главный бухгалтер,В.В. Клепикова,Вед. экономист,Овчаренко И.Э.,239-83-40,29
492,60,09246045,1026100001817,492,046015804,12/1/2010,"ОАО ""Донкомбанк""","344068, г. Ростов-на-Дону, пр. Михаила Нагибина, 32/2",Председатель правления,Л.Г. Мартиди,Главный бухгалтер,Л.В. Коробейникова,Исполнитель,Л.Г. Куделькина,272-54-04,30
503,64,09801670,1026500000141,503,046423716,12/1/2010,"ЗАО ""Холмсккомбанк""","694620, Сахалинская область, г. Холмск, ул. Победы, 16",Генеральный директор,Тищенко Т.П.,Главный бухгалтер,Дядюн Т.И.,Исполнитель,Антипов А.В.,66-027,30
507,71,09801718,1028900001360,507,047191984,12/1/2010,"ЗАО ""Приполяркомбанк""","629860, Тюменская область, Ямало-Ненецкий авт. округ, Пуровский р-н, пгт. Уренгой,  ул. Попенченко, 3-а",Председатель Правления,Калинина Елена Ивановна,Главный бухгалтер,Седлецкая Елена Евгеньевна,Начальник ОРКУ,Иванова О.Ф.,8(34934)9-15-19,21
514,45,09801995,1023600001963,514,044579739,12/1/2010,"ОАО ""АБ Финанс Банк""","127106, г. Москва, ул. Гостиничная, дом 5, корпус 10",Заместитель Председателя Правления,И.В. Москалев,Главный бухгалтер,Е.Д. Парада,Начальник отдела сводной отчетности,С.П. Бубличенко,(495)739-09-03  (доб.97629),21
518,03,09306717,1022300001063,518,040349715,12/1/2010,"Банк ""Первомайский"" (ЗАО)","350020, г. Краснодар, ул. Красная, 139",Председатель Правления,Кулакова Алла Ивановна,Главный бухгалтер,Башкова Наталья Николаевна,Начальник отдела,Забнин А.В.,279-14-45,21
520,03,09801919,1032335000675,520,040326819,12/1/2010,"ООО КБ ""ИСТОК""","352190, Краснодарский край, Гулькевичский район, г. Гулькевичи, ул. Советская,  дом  29А",Председатель Правления,Догадаева Т.С.,Главный бухгалтер,Полянская Р.В.,Начальник отдела экономического анализа,Орлова Л.В.,(86160) 3-34-70,21
524,73,09306769,1027300000166,524,047308813,12/1/2010,"ЗАО Банк ""Венец""","432071, г. Ульяновск, ул. Марата, 19",Председатель Правления,Ендовицкий В.А.,Главный бухгалтер,Лысякова Е.Н.,Начальник ПЭО,Клещ?в М.А.,323874,21
531,45,09306835,1022300001569,531,044585519,12/1/2010,"ООО ""ЕВРОКОМБАНК""","109240, г. Москва, ул. Яузская, д. 12",Председатель Правления,Вежновец Е.В.,И.о. Главного бухгалтера,Попова Н.А.,И.о.Главного бухгалтера,Попова Н.А.,967-77-77,21
532,94,09306841,1021800000177,532,049401825,12/1/2010,"ОАО ""Мобилбанк""","426000, Удмуртская Республика, г.Ижевск,  ул.Свободы, 173",Президент,Мунтян А.В.,Главный бухгалтер,Гусева Т.А.,экономист,Салтыков Н.А.,908905 (0142),30
533,45,09306858,1027739082425,533,044525831,12/1/2010,"ОАО КБ ""Флора-Москва""","119049,  г. Москва, ул. Донская, д. 4, стр. 3",Председатель Правления,Шутко Сергей Николаевич,Главный бухгалтер,Новикова Елена Владимировна,Заместитель Главного бухгалтера,Еремина Татьяна Викторовна,959-80-91...95 (вн. 161),21
537,71,09306870,1028600002100,537,047169777,12/1/2010,"ЗАО АКБ ""Приобье""","628616, Тюменская область, Ханты-Мансийский автономный округ,  г. Нижневартовск, просп. Победы, 18-а",Председатель Правления,И.Э.Ломтева,Зам.главного бухгалтера,Е.Е.Елсукова,Начальник отдела учета и отчетности,Л.Ю.Дьячук,(3466)413717,29
538,45,09251548,1026400002012,538,044579771,12/1/2010,"ООО ""Промсельхозбанк""","119048, г. Москва, ул. Усачева, д. 62",Председатель Правления,Воронкова Н.А.,Главный бухгалтер,Мокрушина Т.Б.,"Заместитель начальника отдела бухгалтерского учета, отчетности и планирования",Тумашик Е.М.,499-245-15-62,25
539,08,09271019,1022700000047,539,040813737,12/1/2010,"ОАО ""НОМОС-РЕГИОБАНК""","680000, г. Хабаровск, Амурский бульвар, дом 18","Президент ОАО ""НОМОС-РЕГИОБАНК""",С.Г. Гребенюк,Главный бухгалтер,Т.В. Брещенина,Руководитель группы экономического анализа и контроля за соблюдением нормативов,Щинова Д.Н.,32-74-24,26
543,82,25098388,1020500001422,543,048209769,12/1/2010,"КБСР ""Дагестан"" ООО","367020, Республика Дагестан, г. Махачкала, ул.Даниялова, 12",Председатель Правления банка,Мамаев К. А.,Главный бухгалтер,Гаджиев Р. И.,Заместитель председателя Правления банка,Мамаев В. К.,674625,20
545,30,09275313,1024100000077,545,043002711,12/1/2010,"ОАО ""Камчаткомагропромбанк""","683024, Камчатский край, г.Петропавловск-Камчатский, пр-т 50 Лет Октября, д.5",Первый вице-президент,М.И.Лазарева,Зам.главного бухгалтера,С.М.Захарова,Гл.экономист,Н.П.Грызлова,23-41-77,21
546,45,09320315,1027744005618,546,044552734,12/1/2010,"ОАО ""Принтбанк""","127474,  г.Москва, Дмитровское шоссе, д. 60",И.О. Председателя Правления,Т.А. Бондаренко,Главный бухгалтер,Н.Н. Фетисова,начальник отдела сводной отчетности,Н.В.Перепечина,481-95-70,23
548,45,09309383,1028900000051,548,044579645,12/1/2010,"ЗАО ""СтарБанк""","125040, г. Москва, ул. Правды, 26",Председатель правления,Конторщикова Л.Ю.,Главный бухгалтер,Парфенова Л.И.,Генеральный менеджер,Егорова М.В.,8(495) 648-95-59,21
554,36,21291250,1026300001848,554,043601706,12/1/2010,"ОАО КБ ""Солидарность""","443099, г.Самара, ул.Куйбышева,90",Вице-президент,Назаров Андрей Александрович,Главный бухгалтер,Пулатов Искандер Салиджанович,Заместитель начальника отдела эк. анализа,Грибова А.О.,270-33-61,25
567,50,09309443,1025400000427,567,045004815,12/1/2010,"ОАО КБ ""Акцепт""","630099, г. Новосибирск, ул.Советская, 14",Генеральный директорГенеральный директор,Гусев И.В.,Главный бухгалтер,Шачнева Т.А.,Зам.начальника ОЭАиО,Артамонова Е.П.,2271096,21
568,45,09309454,1027400000154,568,044552311,12/1/2010,"ЗАО КБ ""Златкомбанк""","119071, г. Москва, пр. Донской 2-й, д. 10, стр. 2",Зам. Председателя Правления,Фомин Ю.Н.,Главный бухгалтер,Щугорев А.Л.,Ведущий экономист,Садова Т.Б.,785-9490,21
570,82,09309472,1020500000069,570,048209729,12/1/2010,"ОАО ""АНДЖИБАНК""","367026, Республика Дагестан, г. Махачкала, пр. И.Шамиля, 10",Председатель Правления,Муртазалиев М.М.,Главный бухгалтер,Кожухина В.В.,Исполнитель,Гусейнов З.М.,64-26-18,21
574,60,09309519,1026100001982,574,046027267,12/1/2010,"ООО ""ЗЕМКОМБАНК""","344010, г. Ростов-на-Дону, ул. Малюгиной, 233",Председатель Правления,Чернявский А.А.,Главный бухгалтер,Игнатьев Д. В.,Начальник отдела анализа и финансовой отчетности,Кобозева Ольга Николаевна,2800067,25
575,45,09309526,1028600002199,575,044525738,12/1/2010,"ЗАО АБ ""Капитал""","119334, г. Москва, 5-й Донской проезд, д. 21Б, стр. 10",Президент,Чернова Н.Г.,Главный бухгалтер,Комарова В.И.,Начальник отдела,Борисенков В.А.,958-08-87,26
588,71,09309638,1028600001792,588,047144709,12/1/2010,"ЗАО ""СНГБ""","628400, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Кукуевицкого, 19",Председатель Правления,Король А.В.,Главный бухгалтер,Васильева Г.Д.,ведущий экономист ОУО,Пустовая И.М.,3462 39-85-73,29
589,07,09231304,1022600000334,589,040708733,12/1/2010,"ЗАО ""Вэлкомбанк""","357538, Ставропольский край, г.Пятигорск, ул.Р.Люксембург,70/ул.Украинская,31",Зам.Председателя Правления,Кан Е.И.,Главный бухгалтер,Паламарчук С.Н.,Исполнитель,Оганесян Н.И.,98-37-55,30
