REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,C2_5
328,40,09804148,1027800000084,328,044030861,2/1/2013,"ОАО ""АБ ""РОССИЯ""","191124, Санкт-Петербург, пл. Растрелли, 2, литер А",31
330,63,09809080,1026400002089,330,046311755,2/1/2013,"ООО Банк ""Саратов""","410071, г.Саратов, ул.Шелковичная, 177",17
347,82,09804326,1020500002357,347,048209711,2/1/2013,"ООО ""НОВЫЙ КОММЕРЧЕСКИЙ БАНК""","367027, Республика Дагестан, г. Махачкала, ул. Казбекова, 161а.",17
356,40,09804384,1027800000183,356,044030758,2/1/2013,"ОАО ""Витабанк""","195220, Санкт-Петербург, пр. Непокоренных,17, корп 4, литер В",17
370,45,09801960,1027700412893,370,044583209,2/1/2013,"Банк ""Новый Символ"" (ЗАО)","123007,  г. Москва, 2-й Силикатный проезд, д.8",17
384,46,09804616,1025000006350,384-К,044552691,2/1/2013,"НКО ""СПРП"" (ООО)","141300, Московская область,г. Сергиев Посад, ул.Бероунская, д.1",27
385,71,09804622,1027200000321,385,047102861,2/1/2013,"ОАО ""СИБНЕФТЕБАНК""","625000, Тюменская область, г. Тюмень, ул. Первомайская, д. 39.",17
391,46,16967282,1025000003071,391,044552362,2/1/2013,"ОАО ""АБ ""ПУШКИНО""","141200, Московская область, г. Пушкино, микрорайон Дзержинец, д. 1",31
404,04,09804740,1022400001084,404,040407816,2/1/2013,"ООО КБ ""СТРОМКОМБАНК""","660021, г. Красноярск, ул. Горького, д. 3 ""А""",20
410,50,09224971,1025400003420,410,045004897,2/1/2013,"ОАО ""НОМОС-БАНК-Сибирь""","630102, г. Новосибирск, ул.Кирова, 44",20
415,92,09265987,1021600000993,415,049205774,2/1/2013,"ООО МКБ ""Аверс""","420111, г.Казань, ул.М.Джалиля, д.3",27
429,65,09809128,1026600000350,429,046577795,2/1/2013,"ОАО ""УБРиР""","620014, г.Екатеринбург, ул. Сакко и Ванцетти, д.67",31
430,03,09804964,1022300000447,430,040349772,2/1/2013,"ОАО АБ ""КУБАНЬБАНК""","350080, г. Краснодар, ул. Уральская, 97",17
435,45,09801026,1037700041323,435,044525186,2/1/2013,"""АЛОР БАНК"" (ОАО)","115419, г.Москва, ул. Орджоникидзе, д. 5, корп. 2",31
436,40,09804728,1027800000140,436,044030790,2/1/2013,"ОАО ""Банк ""Санкт-Петербург""","195112, Санкт-Петербург, Малоохтинский пр., д. 64, лит. А",17
438,92,09265964,1021600000840,438,049240785,2/1/2013,"ООО ""Камкомбанк""","423807, Республика Татарстан, г.Набережные Челны, ул. Гидростроителей, д.21",17
444,63,09801109,1026400002265,444,046359728,2/1/2013,"ОАО ""БАЛАКОВО-БАНК""","413840, Саратовская область, г.Балаково, ул.Факел Социализма, 21",20
456,03,09141191,1022300002670,456,040349569,2/1/2013,"АКБ ""Крыловский"" (ОАО)","350059, г. Краснодар, Центральный округ, ул. 9-го Мая, дом № 46а",26
466,60,09801316,1026100002180,466,046032846,2/1/2013,"ОАО КБ ""Максимум""","347382, Ростовская область, г. Волгодонск, ул. Черникова, 3",17
467,03,09801322,1022300001272,467,040349808,2/1/2013,"ООО КБ ""Новопокровский""","350059, г. Краснодар, Карасунский внутригородской округ, ул. Волжская, 47/ул. им. Глинки, 77",20
469,60,09801345,1026100008384,469,046027835,2/1/2013,"ООО ""Русский Национальный Банк""","344082, г. Ростов-на-Дону, ул. Шаумяна, 38/39",20
474,04,09144918,1022400007508,474,040407795,2/1/2013,"АКБ ""ЕНИСЕЙ"" (ОАО)","660075, г. Красноярск, ул. Республики, дом 51",20
478,03,20702891,1022300000502,478,040349718,2/1/2013,"ЗАО ""Кубаньторгбанк""","350063, г. Краснодар, Центральный округ, ул. Комсомольская, д. 4.",17
480,92,09265013,1021600000256,480,049205703,2/1/2013,"ЗАО ""ТАТСОЦБАНК""","420111, г.Казань, ул.Чернышевского, 18/23",23
481,60,09141200,1022300003021,481,046027283,2/1/2013,"ООО КБ ""РостФинанс""","344006, г. Ростов-на-Дону, ул. Суворова, 59",17
485,75,09801500,1027400000110,485,047501711,2/1/2013,"ОАО ""ЧЕЛИНДБАНК""","454091, г.Челябинск, ул.К.Маркса, 80",25
492,60,09246045,1026100001817,492,046015804,2/1/2013,"ОАО ""Донкомбанк""","344068, г. Ростов-на-Дону, пр. Михаила Нагибина, 32/2",26
493,75,09801575,1027400001650,493,047501779,2/1/2013,"ОАО ""ЧЕЛЯБИНВЕСТБАНК""","454113, г.Челябинск, пл.Революции, 8",31
503,64,09801670,1026500000141,503,046423716,2/1/2013,"ЗАО ""Холмсккомбанк""","694620, Сахалинская область, г. Холмск, ул. Победы, 16",27
507,71,09801718,1028900001360,507,047102766,2/1/2013,"ЗАО ""Приполяркомбанк""","625023, г. Тюмень, ул. Пржевальского, 41, корп. 1/1",17
518,03,09306717,1022300001063,518,040349715,2/1/2013,"Банк ""Первомайский"" (ЗАО)","350020, г. Краснодар, ул. Красная, 139",17
520,03,09801919,1032335000675,520,040326819,2/1/2013,"ООО КБ ""Финанс Бизнес Банк""","352190, Краснодарский край, Гулькевичский район, г. Гулькевичи, ул. Советская,  дом  29А",17
524,73,09306769,1027300000166,524,047308813,2/1/2013,"ЗАО Банк ""Венец""","432071, г. Ульяновск, ул. Марата, 19",31
533,45,09306858,1027739082425,533,044525831,2/1/2013,"ОАО КБ ""Флора-Москва""","119049,  г. Москва, ул. Донская, д. 4, стр. 3",20
537,71,09306870,1028600002100,537,047169777,2/1/2013,"ЗАО АКБ ""Приобье""","628616, Тюменская область, Ханты-Мансийский автономный округ,  г. Нижневартовск, просп. Победы, 18-а",27
538,45,09251548,1026400002012,538,044579771,2/1/2013,"ООО ""Промсельхозбанк""","119048, г. Москва, ул. Усачева, д. 62",26
539,08,09271019,1022700000047,539,040813737,2/1/2013,"ОАО ""НОМОС-РЕГИОБАНК""","680000, г. Хабаровск, Амурский бульвар, дом 18",21
543,82,25098388,1020500001422,543,048209769,2/1/2013,"КБСР ""Дагестан"" ООО","367020, Республика Дагестан, г. Махачкала, ул.Даниялова, 12",17
545,30,09275313,1024100000077,545,043002711,2/1/2013,"ОАО ""Камчаткомагропромбанк""","683024, Камчатский край, г.Петропавловск-Камчатский, пр-т 50 Лет Октября, д.5",17
546,45,09320315,1027744005618,546,044552734,2/1/2013,"ОАО ""Принтбанк""","127474,  г.Москва, Дмитровское шоссе, д. 60",20
548,45,09309383,1028900000051,548,044579645,2/1/2013,"ЗАО ""СтарБанк""","127055, г. Москва, улица Бутырский вал, д. 68/70, стр. 1",17
554,36,21291250,1026300001848,554,043601706,2/1/2013,"ОАО КБ ""Солидарность""","443099, г.Самара, ул.Куйбышева,90",24
558,40,09801871,1027800000040,558,044030772,2/1/2013,"ЗАО Банк ""Советский""","197372, г. Санкт-Петербург, Богатырский пр., д. 35, корп. 1, лит. А",31
567,50,09309443,1025400000427,567,045004815,2/1/2013,"ОАО КБ ""Акцепт""","630099, г. Новосибирск, ул.Советская, 14",17
568,45,09309454,1027400000154,568,044552311,2/1/2013,"ЗАО КБ ""Златкомбанк""","119071, г. Москва, пр. Донской 2-й, д. 10, стр. 2",30
570,82,09309472,1020500000069,570,048209729,2/1/2013,"ОАО ""АНДЖИБАНК""","367026, Республика Дагестан, г. Махачкала, пр. И.Шамиля, 10",17
574,60,09309519,1026100001982,574,046027267,2/1/2013,"ООО ""ЗЕМКОМБАНК""","344010, г. Ростов-на-Дону, ул. Малюгиной, 233",21
575,45,09309526,1028600002199,575,044525738,2/1/2013,"ЗАО АБ ""Капитал""","119334, г. Москва, 5-й Донской проезд, д. 21Б, стр. 10",21
588,71,09309638,1028600001792,588,047144709,2/1/2013,"ЗАО ""СНГБ""","628400, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Кукуевицкого, 19",23
594,58,09243017,1026000001862,594,045805703,2/1/2013,"ОАО КБ ""Псковбанк""","180016, г. Псков, Рижский проспект 40-б",17
596,08,09271290,1022700002654,596,040813700,2/1/2013,"КБ ""Уссури"" ОАО","Российская Федерация, 680013, город Хабаровск, улица Карла Маркса, дом 96 А",27
598,58,09243276,1026000001774,598,045853729,2/1/2013,"ОАО КБ ""Великие Луки банк""","182100, Псковская область, г. Великие Луки, ул. Комсомольская, д. 27-а",17
600,45,29323770,1027739065375,600,044525402,2/1/2013,"АБ ""ИНТЕРПРОГРЕССБАНК"" (ЗАО)","115201,  г. Москва, Старокаширское шоссе, дом 2, корпус 1, строение 1",31
604,45,09301022,1027739222246,604,044525408,2/1/2013,"АКБ ""ПЕРВЫЙ ИНВЕСТИЦИОННЫЙ"" (ЗАО)","127247,  г. Москва, Бескудниковский бульвар, д.36, корпус 1",31
606,45,09309802,1027739325624,606,044525429,2/1/2013,"ЗАО КБ ""Гагаринский""","119361,  г. Москва, 2-ой Очаковский пер., д.7",20
608,45,09309822,1027739326207,608,044525401,2/1/2013,"АБ ""АСПЕКТ"" (ЗАО)","129327,  г. Москва, Анадырский проезд, д.21",17
609,56,09309839,1125800000094,609,045655707,2/1/2013,"ОАО Банк ""Кузнецкий""","440000, г. Пенза, ул. Красная, 104",31
622,45,09309957,1027700057440,622,044552238,2/1/2013,"ООО КБ ""АкадемРусБанк""","117447, г. Москва, улица Дмитрия Ульянова, дом 35, строение 1",29
625,45,09309977,1062300007901,625,044552436,2/1/2013,Банк - Т (ОАО),"123610, г. Москва, Краснопресненская наб., д. 12",31
635,45,09307757,1027300001630,635,044552638,2/1/2013,"""НоваховКапиталБанк"" (ЗАО)","105066, г. Москва, ул. Спартаковская, д. 2, корп. 6",17
637,45,09307770,1027739108979,637,044585445,2/1/2013,"КБ ""ИНВЕСТИЦИОННЫЙ СОЮЗ"" (ООО)","115230, г. Москва, Хлебозаводский проезд, д. 7, стр. 9",20
639,82,09307792,1020500000498,639,048209778,2/1/2013,"ООО КБ ""Каспий""","367027, Республика Дагестан, г.Махачкала, пр.Акушинского, д.34 ""Д""",17
646,94,09269011,1021800000090,646,049401871,2/1/2013,"АКБ ""Ижкомбанк"" (ОАО)","426076, Удмуртская Республика, г.Ижевск, ул. Ленина, 30",31
650,45,09106059,1023200000010,650,044585214,2/1/2013,"ОАО ""Лето Банк""","101000, г.Москва, ул.Мясницкая, д. 35 (107061, г. Москва, Преображенская площадь, дом 8 - почтовый адрес)",31
653,73,09307912,1027300000232,653,047308811,2/1/2013,"ОАО ГБ ""Симбирск""","432017, г. Ульяновск, ул.Карла Маркса, дом 5",23
654,20,09111037,1023600002084,654,042007707,2/1/2013,"ОАО банк ""Воронеж""","394006, г. Воронеж, ул. Челюскинцев, 149",17
655,75,09307935,1027400009790,655,047501782,2/1/2013,Таурус Банк (ЗАО),"454080, г.Челябинск, пр. Ленина, 89",20
665,79,09143037,1020100002955,665,047908750,2/1/2013,"ООО КБ ""ГТ банк""","385006, Республика Адыгея, г.Майкоп, пер. Вокзальный, дом 1",17
671,45,09309064,1026400002310,671,044552655,2/1/2013,"ООО ""БАНК ФИНИНВЕСТ""","107140, г. Москва, ул. Краснопрудная, д. 3-5, стр. 1",28
680,34,09139320,1024400002978,680,043469714,2/1/2013,"ООО КБ ""Аксонбанк""","156961, г. Кострома, пр-т Мира, 55",21
684,71,09309182,1028600003410,684,047144860,2/1/2013,"ООО КБ ""Сургутский Центральный""","628408, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Энгельса, 12",17
685,45,09243164,1026000001983,685,044583412,2/1/2013,"ОАО КБ ""РусьРегионБанк""","119049, г. Москва, Калужская площадь., д. 1, корп. 1",20
695,83,09128018,1020700000496,695,048327741,2/1/2013,"Банк ""Нальчик"" ООО","360051, Кабардино-Балкарская республика, г.Нальчик, ул. Толстого,77",17
696,53,09284341,1025600000865,696,045339827,2/1/2013,"ОАО АКБ ""Акцент""","462431, Оренбургская обл., г. Орск, просп. Ленина, 75а",17
702,53,09284542,1025600001679,702,045354814,2/1/2013,"ОАО ""НИКО-БАНК""","460000, Оренбургская область, г. Оренбург, пер. Алексеевский, 5",21
704,53,09284565,1025600001217,704,045354886,2/1/2013,"ОИКБ ""Русь"" (ООО)","460000, Оренбургская область, г. Оренбург, пер.Шевченко, 7",22
705,65,09320752,1026600000460,705,046577756,2/1/2013,"ОАО ""СКБ-банк""","620219, г.Екатеринбург,ул. Куйбышева, 75",25
708,92,40654987,1021600000014,708,049205844,2/1/2013,"ООО КБЭР ""Банк Казани""","420066, г.Казань, ул.Солдатская, д.1",17
709,71,09320798,1028900000073,709,047169702,2/1/2013,"ОАО Банк ""Пурпе""","628606, Тюменская обл., Ханты-Мансийский автономный округ-Югра, г. Нижневартовск, мкр. 9, ул. Мусы Джалиля, дом 9.",17
715,82,40760933,1020500001928,715,048209992,2/1/2013,"КБ ""НАФТАБАНК"" ООО","367000, Республика Дагестан, г.Махачкала, ул.Ирчи Казака, 2""е""",20
720,41,25855470,1024700000071,720,044109722,2/1/2013,"ОАО ""Выборг-банк""","188800 Ленинградская область, город Выборг, улица Пионерская, дом 2",31
728,92,09265198,1021600002500,728,049205708,2/1/2013,"ООО ""ТАТАГРОПРОМБАНК""","420097, Республика Татарстан, г.Казань, ул.Зинина, д.4",20
732,22,09116810,1025200000352,732,042282751,2/1/2013,"ОАО КБ ""Ассоциация""","603000, г.Нижний Новгород, ул.М.Горького, 61",17
735,38,09155046,1024600001458,735,043807708,2/1/2013,"ОАО ""Курскпромбанк""","305000, г.Курск, ул.Ленина, 13",21
749,82,09121314,1020500000400,749-К,048209861,2/1/2013,"Кизилюртовская РНКО ""Сулак"" ООО","368120,  Республика Дагестан, г.Кизилюрт,  ул.  Гагарина, 105",17
752,89,09188382,1021300001656,752,048952729,2/1/2013,"ОАО КБ ""МПСБ""","430005, г.Саранск, ул.Б.Хмельницкого, 36-а",18
766,40,09306321,1033501068941,766,044030807,2/1/2013,"АКБ ""Северо-Западный 1 Альянс Банк"" ОАО","191123, г. Санкт-Петербург, ул. Радищева, д. 39, лит. Д",20
777,28,09131011,1026900001765,777,042809707,2/1/2013,"ОАО ""Тверьуниверсалбанк""","170100, г.Тверь, ул.Володарского, 34",25
779,07,09231190,1022600000114,779,040724712,2/1/2013,"ООО ""РУСБС""","357350, Ставропольский край, Предгорный район, ст. Ессентукская, ул. Гагарина, 148",20
783,08,09271054,1022700000685,783,040825773,2/1/2013,"ОАО ""Роял Кредит Банк""","681000,  Хабаровский край, г.Комсомольск-на-Амуре, ул.Партизанская,15",22
784,57,09185544,1025900000488,784,045773764,2/1/2013,"ОАО АКБ ""Перминвестбанк""","614010, г. Пермь, Комсомольский проспект, 80",20
790,03,09801931,1022300003186,790,040313716,2/1/2013,"ОАО ""Геленджик-Банк""","353460, Краснодарский край, г. Геленджик, ул. Островского, 31",25
793,82,49192608,1020500000443,793,048209748,2/1/2013,"ООО КБ ""КРЕДО ФИНАНС""","367029, Республика Дагестан, г.Махачкала, ул.С.М. Абубакарова, 115",17
804,49,09316087,1025300000175,804,044959775,2/1/2013,"ЗАО ""НКБ ""СЛАВЯНБАНК""","173004  Новгородская обл., г.Великий Новгород, ул.Черемнова-Конюхова, д.12",17
812,65,09253642,1026600001779,812,046551767,2/1/2013,"ОАО ""Уралтрансбанк""","620027, г.Екатеринбург, ул. Мельковская, 2 ""Б""",17
817,92,09265674,1021600000586,817,049205772,2/1/2013,"АКБ ""Заречье"" (ОАО)","420032, г.Казань, ул.Лукницкого, д.2",20
825,98,09287316,1021400001292,825,049849762,2/1/2013,"НКБ ""Нерюнгрибанк"" (ООО)","678960, Республика Саха (Якутия), г. Нерюнгри, проспект Дружбы народов, 29/4",22
826,01,09316294,1022200529537,826,040173749,2/1/2013,"ООО ""КБ ""Тальменка-банк""","656037, Алтайский край, г.Барнаул, пр.Ленина, 156-а",17
836,73,09790127,1027300534690,836,047311818,2/1/2013,"ЗАО ""РКБ""","433508, Ульяновская область, г. Димитровград, ул. Самарская, дом 4",17
840,79,09143050,1020100001899,840,047908700,2/1/2013,"ОАО АКБ ""Новация""","385011, Республика Адыгея,г.Майкоп, ул.Димитрова, д.4, корпус 1",17
841,79,09143043,1020100002340,841,047908749,2/1/2013,"ООО ""Банк Стандарт-Кредит""","385301, Республика Адыгея, с.Красногвардейское, ул.Мира, 173a",17
842,37,09153403,1024500000392,842,043735821,2/1/2013,"ООО КБ ""Кетовский""","641310, Курганская область, с.Кетово, ул.Красина, 19",20
843,05,09241018,1022500000786,843,040507705,2/1/2013,"ОАО ""Дальневосточный банк""","690990, г.Владивосток, ул. Верхнепортовая, 27-а",20
854,98,13138480,1021400001040,854,049853792,2/1/2013,"АБ ""Алданзолотобанк"" ОАО","678900, Республика Саха (Якутия), г. Алдан, улица 10 лет Якутии ,31-а",17
857,64,09316609,1026500538240,857,046401727,2/1/2013,"КБ ""Долинск"" (ЗАО)","693007, Сахалинская область, г. Южно-Сахалинск, пр. Мира, 119-а",17
860,04,09144261,1022400010005,860,040452720,2/1/2013,"КБ ""Канский"" ООО","663600, Красноярский край, г. Канск, ул.Власть Советов, 1",29
865,07,09231132,1022600000037,865-К,040714745,2/1/2013,"НКО ""Ассигнация"" ООО","356630, Ставропольский край, г.Ипатово, ул.Гагарина, 67",17
870,17,09109299,1023300000052,870,041708708,2/1/2013,"ООО ""Владпромбанк""","600020, г.Владимир, ул. Большая Нижегородская, д.9",25
874,83,09128115,1020700000617,874,048341752,2/1/2013,"Банк ""Прохладный"" ООО","361045, Кабардино-Балкарская республика, г.  Прохладный, ул.Ленина, 115",17
875,57,09185461,1025900000510,875,045773756,2/1/2013,"ОАО АКБ ""Пермь""","614000, г. Пермь,  ул. Куйбышева, 10",17
880,71,09268709,1028600001770,880,047169779,2/1/2013,"ОАО АКБ ""ЮГРА""","628684, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Мегион, проспект Победы, 8/1",23
889,92,09265763,1021600000597,889,049209778,2/1/2013,"""АНКОР БАНК"" (ОАО)","420101, г.Казань, ул. Братьев Касимовых, 47",17
901,19,09108414,1023500002404,901,041946747,2/1/2013,"ОАО ""Меткомбанк""","162623, Вологодская обл., г.Череповец, ул. Краснодонцев, 57А",23
902,33,09136304,1024300004739,902,043304728,2/1/2013,"АКБ ""Вятка-банк"" ОАО","610000, г.Киров, ул. Преображенская, 4",27
903,17,09109307,1023300000063,903,041708706,2/1/2013,"ЗАО ""Владбизнесбанк""","600015, г.Владимир, пр-т Ленина,35",28
912,45,09317135,1027739179160,912,044525600,2/1/2013,"ОАО ""МИнБ""","115419,  г. Москва, ул.Орджоникидзе, д.5",31
914,28,09131057,1026900000016,914,042809701,2/1/2013,"КБ ""КБЦ"" /ООО/","170100, г. Тверь, улица Малая Самара, дом 9, корпус 1",17
917,71,09317187,1027200000080,917,047102885,2/1/2013,"ЗАО ""ТЮМЕНЬАГРОПРОМБАНК""","625023, Тюменская область, г. Тюмень, ул. Одесская, 33",17
918,71,09268282,1028900001460,918,047130639,2/1/2013,"""Запсибкомбанк"" ОАО","625000, Тюменская область, г. Тюмень,  ул. 8-е Марта, 1",31
927,24,09123046,1023700000169,927,042406707,2/1/2013,"АКБ ""Акция"" ОАО","153000, г.Иваново, ул.Ташкентская, 14",17
930,45,09108437,1027739306638,930,044599749,2/1/2013,"ЗАО ""Новый Промышленный Банк""","109028, г. Москва, Покровский бульвар, д.6/20, стр.2",17
931,63,12237925,1026400001858,931,046311751,2/1/2013,"ОАО ""НВКбанк""","410012, г. Саратов, ул.Рахова В.Г., д. 129",17
933,28,09131554,1026900000170,933,042854751,2/1/2013,"ОАО КБ ""Торжокуниверсалбанк""","172002, Тверская область, г.Торжок, площадь Ананьина, дом 3",20
937,45,09251146,1026400001803,937,044552706,2/1/2013,"ЗАО ""ОРБАНК""","115280, г. Москва, ул. Ленинская Слобода, д. 19, стр. 32",17
948,45,09317460,1027739109914,948,044525209,2/1/2013,"ЗАО ""М БАНК""","117393,  г. Москва, ул. Профсоюзная, д. 78, стр. 1",21
963,34,09139030,1024400001779,963,043469743,2/1/2013,"ООО ИКБ ""Совкомбанк""","156000, г. Кострома, пр. Текстильщиков, д. 46",31
965,65,09253317,1026600001823,965,046524721,2/1/2013,"ЗАО ""ПЕРВОУРАЛЬСКБАНК""","623109, Свердловская область, г.Первоуральск, пр. Ильича, 9 б",31
967,40,09317619,1023900001993,967,044030917,2/1/2013,"ОАО АКБ ""Балтика""","191014, г. Санкт-Петербург, Виленский пер., 15, лит. А, пом. 19-Н, 20-Н",31
969,45,09282017,1027500001100,969,044579708,2/1/2013,"ОАО ""Евразийский банк""","101000, г. Москва, Кривоколенный пер., д. 12, стр. 1",17
970,34,09139125,1024400003209,970,043469710,2/1/2013,"ООО КБ ""Конфидэнс Банк""","156000, г. Кострома, пр. Мира, д. 113",23
990,71,09317827,1027200000013,990,047106730,2/1/2013,"ООО КБ ""Дружба""","625048, Тюменская область, г. Тюмень, ул. Максима Горького, 68, корпус 2/1",17
