REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_4
142,05,09806970,1032500000532,142,040502713,10/1/2010,"ЗАО ПТКБ ""МЕРКУРИЙ""","690003, г.Владивосток, ул.Станюковича, 3",Президент,Шевыр?в В.В.,Главный бухгалтер,Сорокина Н.Н.,Ведущий экономист отдела активных операций,Боев В.И.,607-253,22
153,65,09808005,1026600000602,153,046568782,10/1/2010,"ЗАО ""Уралприватбанк""","620144, г.Екатеринбург, ул. Верещагина, д.6а",Председатель Правления,Скворцова Л.И.,Главный бухгалтер,Гайсина Р.Р.,Начальник отдела,Камаева Л.С.,385-08-91,30
155,45,09806153,1027739284099,155,044552108,10/1/2010,"ООО КБСИ ""Стройиндбанк""","109004, Москва, ул. Александра Солженицына, д. 8, стр. 1",Председатель,Саввин А.Г.,Главный бухгалтер,Черняева Е.В.,Нач.Упр.,Асланов А.Л.,9117451,22
170,52,09808583,1025500003737,170,045209714,10/1/2010,"ЗАО ""Банк Сибирь""","644024, г.Омск, ул.Маршала Жукова, 21",Зам. Председателя правления,А. Ю. Вандышев,Главный бухгалтер,Л. В. Саброва,Ведущий специалист,Подворный А.В.,44-60-64,22
197,40,09806578,1027800001547,197,044030760,10/1/2010,"ОАО ""МБСП""","194044, Санкт-Петербург, Крапивный пер., 5",Заместитель Председателя Правления - Финансовый директор,Родионов Максим Александрович,Главный бухгалтер,Шевцова Елена Валентиновна,Гл. экономист,Загуменнова Е.А.,542-09-41,22
208,52,09227917,1025500000459,208,045209713,10/1/2010,"ЗАО ""КБ ""СИБЭС""","644007, г.Омск, ул. Рабиновича, 132/134",Зам. Председателя Правления,Горячкина И. М.,Главный бухгалтер,Самойлова Г. Н.,Нач. отдела эконом. анализа и ликвидности,Корешкова Г.Я.,24-58-67,22
210,45,09806561,1027739290270,210,044599457,10/1/2010,"ЗАО АКБ ""Экспресс-кредит""","105037,  г. Москва, ул.3-я Прядильная, д.3",Заместитель Председателя Правления,Лосев А.С.,Зам.главного бухгалтера,Васина О.А.,Зам.главного бухгалтера,Васина О.А.,925-07-36,26
226,45,09807359,1027700351106,226,044552521,10/1/2010,"ЗАО КБ ""Росинтербанк""","129272,  г. Москва, ул.Трифоновский тупик, д.3",Председатель Правления,Чернуха М.В.,Главный бухгалтер,Жукова Г.А.,Начальник отдела,Байкова К.А.,787-7050,22
232,03,09808815,1102300004938,232,040396717,10/1/2010,ЗАО Банк ЗЕНИТ Сочи,"354000, Краснодарский край, г. Сочи, ул. Навагинская, 14",Председатель правления ЗАО Банк ЗЕНИТ Сочи,Сосин И.Н.,Главный бухгалтер,Чернова Л.В.,Зам.главного бухгалтера,"Беркутов Л.А,",647280,22
233,78,12657633,1027600000097,233,047888700,10/1/2010,"АБ ""Регион"" (ОАО)","150000,  Ярославская область, г. Ярославль,  ул. Комсомольская, 6","Президент АБ ""Регион"" (ОАО)",Рачкова И.М.,"Главный бухгалтер АБ ""Регион"" (ОАО)",Славнова Е.А.,Директор казначейства,Покровская М.Н.,72-18-77,30
236,45,17546329,1027739412359,236,044585728,10/1/2010,"ООО ""СПЕЦСТРОЙБАНК""","109004,  г. Москва, ул. Александра Солженицына, д. 12, стр. 4",Зам. Председателя Правления,Логунова Т.Ю.,Зам. Главного бухгалтера,Саргина А.В.,Зам. Главного бухгалтера,Саргина А.В.,755-56-66 (160),22
249,57,0980754,1025900000048,249,045773790,10/1/2010,"ОАО АКБ ""Урал ФД""","614990, г. Пермь, ул. Ленина, 64",Зам. Председателя Правления,Яцков А.С.,Главный бухгалтер,Попова М.Б.,вед. экономист,Ощепкова Е.В.,240-10-88,26
254,33,10919075,1024300000042,254,043304711,10/1/2010,"ОАО КБ ""Хлынов""","610002, г.Киров, ул. Урицкого, д. 40",Председатель Правления,Попов Н.В.,Главный бухгалтер,Анисимова Г.Н.,исполнитель,Садаков Ю.В.,204777 доб.0202,30
256,45,09807336,1026900005307,256,044552911,10/1/2010,"ОАО ""ГУТА-БАНК""","107078, г. Москва, Орликов пер., д. 5, стр. 3",Президент,Чирков Владимир Николаевич,Главный бухгалтер,Кривенко Наталья Владимировна,Начальник отдела отчетности,Ларькина Наталья Александровна,(4822) 34-74-71,22
272,45,09807649,1027739137535,272,044583544,10/1/2010,"АКБ ""ИРС"" (ЗАО)","127422,  г. Москва, ул.Тимирязевская, д.26",Вице-Президент банка,Башаев Р.М.,Главный бухгалтер,Чернигова Г.Н.,Начальник отдела отчетности,Шубина Л.В.,976-93-87,22
286,45,09807833,1027700207490,286,044552620,10/1/2010,"Коммерческий Банк ""Аскания Траст"" (ООО)","101000,  г. Москва, ул. Покровка, д. 10, стр. 1",Председатель Правления     (Президент),Кузьмина Н.В.,Главный бухгалтер,Пономарева В.С.,Главный бухгалтер,Пономарева В.С.,"921-02-00, 624-45-58",22
323,50,09804094,1025400001571,323,045004821,10/1/2010,"ОАО ""МДМ Банк""","630004,  г. Новосибирск, улица Ленина, 18",Заместитель генерального директора,Пупкова Татьяна Алексеевна,Главный бухгалтер,Ахметзянов Руслан Рафикович,Руководитель направления,Журавлева Любовь Александровна,(383)227-81-73,30
324,45,09804102,1037739057070,324,044525057,10/1/2010,"ОАО ""БАНК РОССИЙСКИЙ КРЕДИТ""","125252,  г. Москва, ул. Сальвадора Альенде, д. 7",Председатель Правления,Лысенко П.И.,Главный  бухгалтер - Директор Финансового Департамента,Парамонов Ю.Н.,Начальник отдела,Грачева Л.А.,785-06-26,22
330,63,09809080,1026400002089,330,046311755,10/1/2010,"ООО Банк ""Саратов""","410071, г.Саратов, ул.Шелковичная, 177",Председатель Правления,Мумлева Ирина Юрьевна,Главный бухгалтер,Масликова Елена Ивановна,Ведуший экономист,Скрипкина Н.А.,560-036,22
347,82,09804326,1020500002357,347,048209711,10/1/2010,"ООО ""НОВЫЙ КОММЕРЧЕСКИЙ БАНК""","367027, Республика Дагестан, г. Махачкала, ул. Казбекова, 161а.",Зам. Председателя Правления,Меджидова А.М.,Главный бухгалтер,Абдурахманова Л.В.,экономист,Адилов Г.М.,644924,21
370,45,09801960,1027700412893,370,044583209,10/1/2010,"Банк ""Новый Символ"" (ЗАО)","123007,  г. Москва, 2-й Силикатный проезд, д.8",Первый зам. Председателя Правления,Зиновьев С.В.,Заместитель главного бухгалтера,Соколова Ю.В.,Начальник отдела отчетности,Джурко Н.К.,(499) 946-54-02,22
383,45,09804609,1027739121849,383,044525829,10/1/2010,"АКБ ""СЛАВЯНСКИЙ БАНК"" (ЗАО)","109544,  г. Москва, ул. Большая  Андроньевская, д.17",Председатель Правления,Белов М.Ю.,Главный бухгалтер,Константинов А.Ю.,Заместитель главного бухгалтера,Вимба Н.А.,745-84-97,22
384,46,09804616,1025000006350,384-К,044552691,10/1/2010,"НКО ""СПРП"" (ООО)","141300, Московская область,г. Сергиев Посад, ул.Бероунская, д.1",Председатель Правления,Разживин Дмитрий Владимирович,Главный бухгалтер,Далакян Альберт Арташесович,Зам. начальника отдела сводной отчетности,Сорокина Светлана Николаевна,721-26-10 (доб. 107),30
385,71,09804622,1027200000321,385,047102861,10/1/2010,"ОАО ""СИБНЕФТЕБАНК""","625000, Тюменская область, г. Тюмень, ул. Первомайская, д. 39.",Руководитель,Халитов А.Э.,Главный бухгалтер,Ковень И.А.,Исполнитель,Кучина И.А.,799-206,22
391,46,16967282,1025000003071,391,044552362,10/1/2010,"ОАО ""АБ ""ПУШКИНО""","141200, Московская область, г. Пушкино, микрорайон Дзержинец, д. 1",Председатель Правления,Слыщенко О.В.,Главный бухгалтер,Урбонавичюс А.Р.,Зам. нач. отдела отчетности,Михальченкова О.В.,993-46-70,30
410,50,09224971,1025400003420,410,045004897,10/1/2010,"ОАО ""НОМОС-БАНК-Сибирь""","630102, г. Новосибирск, ул.Кирова, 44",Вице - президент,Панькова Т.А.,Главный бухгалтер,Дударева М.М.,Ведущий специалист,Камнева И.Ю.,210-11-86,26
429,65,09809128,1026600000350,429,046577795,10/1/2010,"ОАО ""УБРиР""","620014, г.Екатеринбург, ул. Сакко и Ванцетти, д.67",Вице-президент,Крохин А.Г.,Главный бухгалтер,Сиразов М.Р.,Ведущий экономист,Мартьянова Ю.В.,228-19-78,30
430,03,09804964,1022300000447,430,040349772,10/1/2010,"ОАО АБ ""КУБАНЬБАНК""","350080, г. Краснодар, ул. Уральская, 97",Президент,Р.В.Дусенко,Зам. главного бухгалтера,Е.А.Михеева,Начальник отдела,Аппазова Л.М.,267-30-68 доб. 5231,22
435,45,09801026,1037700041323,435,044525186,10/1/2010,Банк СКТ (ОАО),"105064, г. Москва, ул. Земляной вал, д. 9",И.о. Председателя Правления,В.Ю. Вашкевич,Главный бухгалтер,Г.В. Баркова,Начальник отдела отчетности Управления бух.учета и отчетности,М.И. Соколова,721-90-42 доб. 39-10,22
436,40,09804728,1027800000140,436,044030790,10/1/2010,"ОАО ""Банк ""Санкт-Петербург""","191167, Санкт-Петербург, Невский пр., 178, литера А",Заместитель Председателя Правления,Реутов В.Г.,И.о. главного бухгалтера,Томилина Н.Г.,Главный специалист,Пикуля Е.В.,329-50-00 (57-22),22
438,92,09265964,1021600000840,438,049240785,10/1/2010,"ООО ""Камкомбанк""","423807, Республика Татарстан, г.Набережные Челны, ул. Гидростроителей, д.21",Председатель Правления,Габдуллина Р.М.,Главный бухгалтер,Тонгузова Н.Б.,Старший экономист,Фазлыева Э.Р.,(8552) 700-194,22
444,63,09801109,1026400002265,444,046359728,10/1/2010,"ОАО ""БАЛАКОВО-БАНК""","413840, Саратовская область, г.Балаково, ул.Факел Социализма, 21",Председатель правления,Рожкова Нина Егоровна,Главный бухгалтер,Толочкова Елена Николаевна,Начальник ОЦБиО,Курчатова Ольга Николаевна,44-11-89,26
456,03,09141191,1022300002670,456,040349569,10/1/2010,"АКБ ""Крыловский"" (ОАО)","350020, г. Краснодар, ул. Дзержинского, 3/2",Зам. Генерального директора,Олифирова Н.С.,Зам. главного бухгалтера,Слухаенко Т.Н.,Бухгалтер,Сорочинская А.Б.,224-81-14,26
459,56,09237695,1025800001050,459,045655724,10/1/2010,"ОАО ""Губернский банк ""Тарханы""","440052,г.Пенза,ул.Куйбышева, д.14",Руководитель,Мещеряков Д.В.,Главный бухгалтер,Кубышная Н.А.,экономист,Лобышева Л.В.,34-31-12,26
466,60,09801316,1026100002180,466,046032846,10/1/2010,"ОАО КБ ""Максимум""","347382, Ростовская область, г. Волгодонск, ул. Черникова, 3",Председатель Правления,Свиткин М.П.,Главный бухгалтер,Ревенко А.В.,исполнитель,Лебедева С.М.,(8639)26-36-00,22
469,60,09801345,1026100008384,469,046027835,10/1/2010,"ООО ""Русский Национальный Банк""","344082, г. Ростов-на-Дону, ул. Шаумяна, 38/39",Председатель Правления,Насибуллин С.В.,Главный бухгалтер,Богданова Н.В.,Начальник финансового управления,Насибуллина А.Л.,2-999-419,26
474,04,09144918,1022400007508,474,040407795,10/1/2010,"АКБ ""ЕНИСЕЙ"" (ОАО)","660075, г. Красноярск, ул. Республики, дом 51",И.о. Председателя Правления,Е.Н. Нагерняк,Главный бухгалтер,Е.Н. Барская,Исполнитель,О.А. Мухамадуллина,229-05-98,26
481,60,09141200,1022300003021,481,046027283,10/1/2010,"ООО КБ ""РостФинанс""","344006, г. Ростов-на-Дону, ул. Суворова, 59",Руководитель,Хнкоян Л.В.,Главный бухгалтер,Богун Н.А.,Начальник кредитного отдела,Чубарян Т.А.,(863)250-12-64,22
485,75,09801500,1027400000110,485,047501711,10/1/2010,"ОАО ""ЧЕЛИНДБАНК""","454091, г.Челябинск, ул.К.Маркса, 80","Первый Заместитель Генерального директора ОАО ""ЧЕЛИНДБАНК""",Т.В. Храбрых,Главный бухгалтер,В.В. Клепикова,Вед. экономист,Овчаренко И.Э.,239-83-40,30
492,60,09246045,1026100001817,492,046015804,10/1/2010,"ОАО ""Донкомбанк""","344068, г. Ростов-на-Дону, пр. Михаила Нагибина, 32/2",Председатель правления,Л.Г. Мартиди,Главный бухгалтер,Л.В. Коробейникова,Исполнитель,Л.Г. Куделькина,272-54-04,30
503,64,09801670,1026500000141,503,046423716,10/1/2010,"ЗАО ""Холмсккомбанк""","694620, Сахалинская область, г. Холмск, ул. Победы, 16",Генеральный директор,Тищенко Т.П.,Главный бухгалтер,Дядюн Т.И.,Исполнитель,Антипов А.В.,66-027,30
507,71,09801718,1028900001360,507,047191984,10/1/2010,"ЗАО ""Приполяркомбанк""","629860, Тюменская область, Ямало-Ненецкий авт. округ, Пуровский р-н, пгт. Уренгой,  ул. Попенченко, 3-а",Председатель Правления,Калинина Елена Ивановна,Главный бухгалтер,Седлецкая Елена Евгеньевна,Начальник ОР и КУ,Иванова О.Ф.,8(34934)9-15-19,22
514,45,09801995,1023600001963,514,044579739,10/1/2010,"ОАО ""АБ Финанс Банк""","127106, г. Москва, ул. Гостиничная, дом 5, корпус 10",Заместитель Председателя Правления,И.В. Москалев,Главный бухгалтер,Е.Д. Парада,Главный специалист,Л.В. Фатеева,(495)739-09-03  (доб.97367),22
518,03,09306717,1022300001063,518,040349715,10/1/2010,"Банк ""Первомайский"" (ЗАО)","350020, г. Краснодар, ул. Красная, 139",Председатель Правления,Кулакова Алла Ивановна,Главный бухгалтер,Башкова Наталья Николаевна,Начальник отдела,Забнин А.В.,279-14-45,22
520,03,09801919,1032335000675,520,040326819,10/1/2010,"ООО КБ ""ИСТОК""","352190, Краснодарский край, Гулькевичский район, г. Гулькевичи, ул. Советская,  дом  29А",Председатель Правления,Догадаева Т.С.,Гл.бухгалтер,Полянская Р.В.,Начальник отдела экономического анализа,Орлова Л.В.,(86160) 3-34-70,22
524,73,09306769,1027300000166,524,047308813,10/1/2010,"ЗАО Банк ""Венец""","432071, г. Ульяновск, ул. Марата, 19",Председатель Правления,Ендовицкий В.А.,Главный бухгалтер,Лысякова Е.Н.,Начальник ПЭО,Клещ?в М.А.,323874,22
531,45,09306835,1022300001569,531,044585519,10/1/2010,"ООО ""ЕВРОКОМБАНК""","109240, г. Москва, ул. Яузская, д. 12",Председатель Правления,Вежновец Е.В.,Главный бухгалтер,Мазур Л.В.,Зам. Главного бухгалтера,Попова Н.А.,967-77-77,22
532,94,09306841,1021800000177,532,049401825,10/1/2010,"ОАО ""Мобилбанк""","426000, Удмуртская Республика, г.Ижевск,  ул.Свободы, 173",Вице-Президент,Щербакова Е.П.,Главный бухгалтер,Гусева Т.А.,экономист,Салтыков Н.А.,908905 (0142),30
533,45,09306858,1027739082425,533,044525831,10/1/2010,"ОАО КБ ""Флора-Москва""","119049,  г. Москва, ул. Донская, д. 4, стр. 3",Председатель Правления,Шутко Сергей Николаевич,Заместитель Главного бухгалтера,Еремина Татьяна Викторовна,Заместитель Главного бухгалтера,Еремина Татьяна Викторовна,959-80-91...95 (вн. 161),22
537,71,09306870,1028600002100,537,047169777,10/1/2010,"ЗАО АКБ ""Приобье""","628616, Тюменская область, Ханты-Мансийский автономный округ,  г. Нижневартовск, просп. Победы, 18-а",И.о.Председателя Правления,Е.Е.Елсукова,И.о.Зам.главного бухгалтера,Л.Ю.Дьячук,Начальник отдела учета и отчетности,Л.Ю.Дьячук,(3466)413717,30
538,45,09251548,1026400002012,538,044579771,10/1/2010,"ООО ""Промсельхозбанк""","119048, г. Москва, ул. Усачева, д. 62",Председатель Правления,Воронкова Н.А.,Главный бухгалтер,Мокрушина Т.Б.,"Заместитель начальника отдела бухгалтерского учета, отчетности и планирования",Тумашик Е.М.,499-245-15-62,26
539,08,09271019,1022700000047,539,040813737,10/1/2010,"ОАО ""НОМОС-РЕГИОБАНК""","680000, г. Хабаровск, Амурский бульвар, дом 18","Президент ОАО ""НОМОС-РЕГИОБАНК""",С.Г. Гребенюк,Главный бухгалтер,Т.В. Брещенина,Руководитель группы ЭАиКСН,Щинова Д.Н.,32-74-24,26
543,82,25098388,1020500001422,543,048209769,10/1/2010,"КБСР ""Дагестан"" ООО","367020, Республика Дагестан, г. Махачкала, ул.Даниялова, 12",Председатель Правления банка,Мамаев К. А.,Главный бухгалтер,Гаджиев Р. И.,Заместитель председателя Правления банка,Мамаев В. К.,674625,21
545,30,09275313,1024100000077,545,043002711,10/1/2010,"ОАО ""Камчаткомагропромбанк""","683024, Камчатский край, г.Петропавловск-Камчатский, пр-т 50 Лет Октября, д.5",Первый вице-президент,Лазарева М. И.,Главный бухгалтер,Демина Т. М.,Начальник Управления анализа и информации,Коровина В. В.,23-41-77,22
546,45,09320315,1027744005618,546,044552734,10/1/2010,"ОАО ""Принтбанк""","127474,  г.Москва, Дмитровское шоссе, д. 60",И.О. Председателя Правления,Т.А. Бондаренко,Главный бухгалтер,Н.Н. Фетисова,начальник отдела сводной отчетности,Н.В.Перепечина,481-95-70,26
548,45,09309383,1028900000051,548,044579645,10/1/2010,"ЗАО ""СтарБанк""","125040, г. Москва, ул. Правды, 26",И.О. Председателя правления,Конторщикова Л.Ю.,И.О. Главного бухгалтера,Болдырева Е.В.,Генеральный менеджер,Егорова М.В.,8(495) 648-95-59,22
568,45,09309454,1027400000154,568,044552311,10/1/2010,"ЗАО КБ ""Златкомбанк""","119071, г. Москва, пр. Донской 2-й, д. 10, стр. 2",Заместитель Председателя Правления,Фомин Ю.Н.,Главный бухгалтер,Щугорев А.Л.,Ведущий экономист,Садова Т.Б.,(495) 785-9490,22
574,60,09309519,1026100001982,574,046027267,10/1/2010,"ООО ""ЗЕМКОМБАНК""","344010, г. Ростов-на-Дону, ул. Малюгиной, 233",Председатель Правления,Чернявский А.А.,Главный бухгалтер,Игнатьев Д. В.,Начальник отдела анализа и финансовой отчетности,Кобозева Ольга Николаевна,2800067,26
575,45,09309526,1028600002199,575,044525738,10/1/2010,"ЗАО АБ ""Капитал""","119334, г. Москва, 5-й Донской проезд, д. 21Б, стр. 10",Вице-президент,Смирнова В.Н.,Главный бухгалтер,Комарова В.И.,Начальник отдела,Борисенков В.А.,958-08-87,26
594,58,09243017,1026000001862,594,045805703,10/1/2010,"ОАО КБ ""Псковбанк""","180016, г. Псков, Рижский проспект 40-б",И.О.Председателя Правления,Синько В.А.,Главный бухгалтер,Антипова С.С.,Начальник экономического отдела,Петрова А.Б.,(8112)573297,22
596,08,09271290,1022700002654,596,040813700,10/1/2010,"КБ ""Уссури"" ОАО","680006, Хабаровский край, г.Хабаровск, ул.Краснореченская, 109",Руководитель,Филиппов Д.Р.,Главный бухгалтер,Глазкова Л.В.,ведущий экономист,Паклина М.С.,45-11-89,30
598,58,09243276,1026000001774,598,045853729,10/1/2010,"ОАО КБ ""Великие Луки банк""","182100, Псковская область, г. Великие Луки, ул. Комсомольская, д. 27-а",Председатель правления,Тимофеева Г.Н.,Главный бухгалтер,Степанова Т.Л.,Экономист,Клевченкова В.В.,(81153)5-68-03,22
604,45,09301022,1027739222246,604,044525408,10/1/2010,"АКБ ""ПЕРВЫЙ ИНВЕСТИЦИОННЫЙ"" (ЗАО)","127247,  г. Москва, Бескудниковский бульвар, д.36, корпус 1",Зам. президента,О.П.Щеглова,Главный бухгалтер,Т.В.Самойлова,начальник отдела,И.А.Егорова,4894207,30
606,45,09309802,1027739325624,606,044525429,10/1/2010,"ЗАО КБ ""Гагаринский""","119361,  г. Москва, 2-ой Очаковский пер., д.7",Председатель Правления,Шаров И.Н.,Главный бухгалтер,Лунина А.В.,Заместитель начальника отдела,Романова Г.Е.,430-66-14,26
608,45,09309822,1027739326207,608,044525401,10/1/2010,"АБ ""АСПЕКТ"" (ЗАО)","129327,  г. Москва, Анадырский проезд, д.21",Президент,Борохова И.Я,Зам.Главного бухгалтера,Бодрова Е.Ю.,Зам. начальника ПЭУ,Cтарикова Е.В.,(499)184-14-44,22
609,56,09309839,1025800000995,609,045655707,10/1/2010,"ООО Банк ""Кузнецкий""","440000, г. Пенза, ул. Красная, 104",Председатель Правления,Андреев А.В.,Главный бухгалтер,Макушина Я.В.,Главный специалист ССО,Коновалов В.П.,(8412)23-18-70,30
622,45,09309957,1027700057440,622,044552238,10/1/2010,"ООО КБ ""АСБ""","117447, г. Москва, улица Дмитрия Ульянова, дом 35, строение 1",Председатель Правления,Щекотурова Е.В.,Главный бухгалтер,Кулигина Е.В.,Главный бухгалтер,Кулигина Е.В.,(499) 126-94-04,22
625,45,09309977,1062300007901,625,044552436,10/1/2010,Банк - Т (ОАО),"123610, г. Москва, Краснопресненская наб., д. 12",Председатель Правления,Толкачев В.П.,Зам. Главного бухгалтера,Паршина С.Б.,Начальник управления  отчетности,Храпунов В.А.,(495) 223-38-88,26
634,73,09790222,1027300001354,634,047308815,10/1/2010,ПВ-Банк (ЗАО),"432970, г. Ульяновск, ул. К. Маркса,1",Зам. Председателя Правления,А.В.Ясюченя,Главный бухгалтер,А.М.Ибрагимова,Начальник отдела,А.С.Комлева,421611,30
635,45,09307757,1027300001630,635,044552638,10/1/2010,"""НоваховКапиталБанк"" (ЗАО)","105066, г. Москва, ул. Спартаковская, д. 2, корп. 6",Зам. Председателя Правления,Смолькова Светлана Анатольевна,Главный бухгалтер,Туаева Оксана Ханджериевна,Зам.начальника  отдела банковской отчетности,Ковалева Н.В.,(495) 660-55-55,30
637,45,09307770,1027739108979,637,044585445,10/1/2010,"КБ ""ИНВЕСТИЦИОННЫЙ СОЮЗ"" (ООО)","115230, г. Москва, Электролитный проезд, д. 3, стр. 32",Председатель Правления,Расулов М.Р.,Главный бухгалтер,Бунеева О.В.,Главный бухгалтер,Бунеева О.В.,8 (499) 317-11-00,23
646,94,09269011,1021800000090,646,049401871,10/1/2010,"АКБ ""Ижкомбанк"" (ОАО)","426076, Удмуртская Республика, г.Ижевск, ул. Ленина, 30",И.о.Директора Банка,Салтыков Н.А.,Главный бухгалтер,Щербакова В.Н.,Главный специалист,Аитова Л.М.,919-240,30
653,73,09307912,1027300000232,653,047308811,10/1/2010,"ОАО ГБ ""Симбирск""","432063, г. Ульяновск, ул.Карла Маркса, дом 5",Председатель Правления,В.Н. Усенко,Главный бухгалтер,Т.Ф.Морозова,Главный специалист ОВО и О,А.В.Благова,440182,30
654,20,09111037,1023600002084,654,042007707,10/1/2010,"ОАО банк ""Воронеж""","394006, г. Воронеж, ул. Челюскинцев, 149",И.О. Президента банка,Юмашева Н.И.,И.О. Главного бухгалтера,Струкова С.Н.,Начальник Казначейства,Зюзюкова Т.В.,57-84-06,22
655,75,09307935,1027400009790,655,047501782,10/1/2010,"ЗАО ""Челябкомзембанк""","454080, г.Челябинск, пр. Ленина, 89",И.о. генерального директора,Макаров А.В.,Главный бухгалтер,Павлова Т.Н.,Гл. экономист,Гуткин А.Д.,211-01-64,22
665,79,09143037,1020100002955,665,047908750,10/1/2010,"ООО КБ ""ГТ банк""","385400, Республика Адыгея, а.Кошехабль, ул.Дружбы Народов, 37",Председатель правления банка,Кумпилова Н.К.,Главный бухгалтер,Папова Л.Н.,Зам.председателя правления,Вакажева А.В.,9-28-49,22
671,63,09309064,1026400002310,671,046322769,10/1/2010,"ООО ""БАНК ФИНИНВЕСТ""","410002, г. Саратов, ул. им. Н.Г. Чернышевского, д. 170/176",Председатель Правления,Крикунов Владимир Петрович,Главный бухгалтер,Кулакова Наталия Валерьевна,Исполнитель,Мозговой Роман Вячеславович,(845-2) 477-000 (доб.1746),22
