"ООО "Промрегионбанк";2123
"ООО "КБ "Европейский Экспресс";3449
"АО КБ "Ассоциация";732
"КБ "СОЦЭКОНОМБАНК" ООО";2917
"ООО КБ "АРЕСБАНК";2914
"ПАО АКБ "Приморье";3001
"ООО Банк "Кузнецкий";609
"ОАО "РУСИЧ ЦЕНТР БАНК";2793
"АО "ИК Банк";1732
АйСиБиСи Банк (АО);3475
"ООО КБ "Финансовый капитал";3288
"Банк "Новый Символ" (АО)";370
"ООО КБ "УМБ";1441
"ЗАО КБ "СибКупБанк";2949
"Банк "Прохладный" ООО";874
"ОАО "Курскпромбанк";735
"КБ "Траст Капитал Банк" АО";2741
"ЗАО "МАБ";1987
"АО "МБ Банк";3396
"ООО КБ "АкадемРусБанк";622
"ОАО "ЧЕЛЯБИНВЕСТБАНК";493
"ОАО "БАНК ОРЕНБУРГ";3269
"Республиканский Кредитный Альянс" ООО";3017
"АКБ "ФИНПРОМБАНК" (ПАО)";2157
"АКБ "Северный Народный Банк" (ОАО)";2721
Банкхаус Эрбе (ЗАО);1717
"ОАО КБ "КОСМОС";2245
"ЗАО "ИпоТек Банк";2794
"КБ "Новый век" (ООО)";3417
"ОАО Банк "Кузнецкий";609
"Банк "Богородский" (ООО)";1277
"БАНК "ТУЛЬСКИЙ ПРОМЫШЛЕННИК" (ПАО)";2382
"АКБ "Форштадт" (АО)";2208
ЗАО Сберкред Банк;2581
"ОАО "Промэнергобанк";2728
"МКБ "Дон-Тексбанк" ООО";1818
"АО "ВостСибтранскомбанк";2731
"ОАО "АБ "РОССИЯ";328
"ООО "Эйч-эс-би-си Банк (РР)";3290
"ЗАО "НИБ";2876
"ПАО АКБ "Акцент";696
"ОАО "СИБНЕФТЕБАНК";385
"АБ "ГПБ-Ипотека" (ОАО)";2403
"АКБ "МАЙКОПБАНК" (ЗАО)";1136
"ООО КБ "Адмиралтейский";3054
"ЗАО "Дексиа Банк";3330
"РНКО "РКО "ИРЦ" ЗАО";3447
"АКБ "ЗОЛОСТБАНК" (ЗАО)";3049
"ОАО "Дальневосточный банк";843
"ООО "Осколбанк";1050
"АКБ "Лэнд-Банк" ЗАО";1478
РИТЦ Банк (ООО);2677
"ОАО "О.К. Банк";1118
"ООО "Унифондбанк";3416
"ОАО МКБ "Замоскворецкий";1640
"АКБ "СЛАВИЯ" (ЗАО)";2664
"АО КИБ "ЕВРОАЛЬЯНС";1781
"Банк "Снежинский" ОАО";1376
"КБ "БТФ" ООО";1982
"АО "АЛЬФА-БАНК";1326
"НКО ЗАО "ЛИДЕР";3304
"ЗАО "Челябкомзембанк";655
БАШКОМСНАББАНК (ПАО);1398
"ООО КБ "ПРЕОДОЛЕНИЕ";2649
"КБ "Гарант-Инвест" (ЗАО)";2576
"АО РНКО "ПРИПОЛЯРКОМ";507
"ООО КБ "ИСТОК";520
"ОАО "Витабанк";356
"Банк "СЕРВИС РЕЗЕРВ" (АО)";2034
"АКБ "ТКПБ" (ОАО)";1312
"АКБ "БАСМАННЫЙ" (ЗАО)";2158
